seq	term
140	isogroup17022	Amino acid transport and metabolism
141	isogroup10787	Carbohydrate transport and metabolism
142	isogroup7777	Intracellular trafficking, secretion, and vesicular transport
143	isogroup24839	Signal transduction mechanisms
144	isogroup2583	Nucleotide transport and metabolism
145	isogroup19232	Transcription
146	isogroup20976	Coenzyme transport and metabolism
147	isogroup710	Replication, recombination and repair
148	isogroup25436	Chromatin structure and dynamics
149	isogroup25436	Transcription
150	isogroup7087	Posttranslational modification, protein turnover, chaperones
151	isogroup7087	Inorganic ion transport and metabolism
152	isogroup23810	Cytoskeleton
153	isogroup13227	Replication, recombination and repair
154	isogroup13603	Cell cycle control, cell division, chromosome partitioning
155	isogroup23727	
156	isogroup28212	Amino acid transport and metabolism
157	isogroup26289	Amino acid transport and metabolism
158	isogroup16273	Signal transduction mechanisms
159	isogroup24139	Posttranslational modification, protein turnover, chaperones
160	isogroup20237	Signal transduction mechanisms
161	isogroup11500	Posttranslational modification, protein turnover, chaperones
162	isogroup11500	Signal transduction mechanisms
163	isogroup542	Cell cycle control, cell division, chromosome partitioning
164	isogroup542	Replication, recombination and repair
165	isogroup10161	Lipid transport and metabolism
166	isogroup10161	Translation, ribosomal structure and biogenesis
167	isogroup10161	Signal transduction mechanisms
168	isogroup13787	Defense mechanisms
169	isogroup13245	Chromatin structure and dynamics
170	isogroup9255	Posttranslational modification, protein turnover, chaperones
171	isogroup5337	Carbohydrate transport and metabolism
172	isogroup7123	Replication, recombination and repair
173	isogroup13772	Signal transduction mechanisms
174	isogroup170	Transcription
175	isogroup2116	Signal transduction mechanisms
176	isogroup24471	Posttranslational modification, protein turnover, chaperones
177	isogroup23247	Inorganic ion transport and metabolism
178	isogroup23247	Signal transduction mechanisms
179	isogroup9117	
180	isogroup8298	Lipid transport and metabolism
181	isogroup6218	Transcription
182	isogroup27403	Signal transduction mechanisms
183	isogroup25888	Posttranslational modification, protein turnover, chaperones
184	isogroup18562	Transcription
185	isogroup10334	
186	isogroup18595	Posttranslational modification, protein turnover, chaperones
187	isogroup6997	Signal transduction mechanisms
188	isogroup11615	Signal transduction mechanisms
189	isogroup207	Intracellular trafficking, secretion, and vesicular transport
190	isogroup18527	
191	isogroup48	RNA processing and modification
192	isogroup12692	Cytoskeleton
193	isogroup28029	Carbohydrate transport and metabolism
194	isogroup27415	Signal transduction mechanisms
195	isogroup19897	Intracellular trafficking, secretion, and vesicular transport
196	isogroup26720	Amino acid transport and metabolism
197	isogroup26720	Carbohydrate transport and metabolism
198	isogroup27398	Carbohydrate transport and metabolism
199	isogroup25707	Lipid transport and metabolism
200	isogroup25707	Secondary metabolites biosynthesis, transport and catabolism
201	isogroup9955	Transcription
202	isogroup9955	Replication, recombination and repair
203	isogroup9955	Signal transduction mechanisms
204	isogroup18577	Lipid transport and metabolism
205	isogroup20096	Posttranslational modification, protein turnover, chaperones
206	isogroup11654	Transcription
207	isogroup19869	Replication, recombination and repair
208	isogroup9904	RNA processing and modification
209	isogroup16245	Transcription
210	isogroup16474	Amino acid transport and metabolism
211	isogroup788	Posttranslational modification, protein turnover, chaperones
212	isogroup28811	Signal transduction mechanisms
213	isogroup10751	Transcription
214	isogroup11251	
215	isogroup7891	Posttranslational modification, protein turnover, chaperones
216	isogroup8634	Replication, recombination and repair
217	isogroup25235	Energy production and conversion
218	isogroup25235	Coenzyme transport and metabolism
219	isogroup1843	Posttranslational modification, protein turnover, chaperones
220	isogroup15515	Signal transduction mechanisms
221	isogroup18185	Replication, recombination and repair
222	isogroup16925	Carbohydrate transport and metabolism
223	isogroup21402	Secondary metabolites biosynthesis, transport and catabolism
224	isogroup7894	Posttranslational modification, protein turnover, chaperones
225	isogroup4640	Amino acid transport and metabolism
226	isogroup26045	Posttranslational modification, protein turnover, chaperones
227	isogroup10544	Posttranslational modification, protein turnover, chaperones
228	isogroup28785	Replication, recombination and repair
229	isogroup9323	Transcription
230	isogroup22409	
231	isogroup18362	Carbohydrate transport and metabolism
232	isogroup10713	Cell cycle control, cell division, chromosome partitioning
233	isogroup10713	Posttranslational modification, protein turnover, chaperones
234	isogroup5748	Translation, ribosomal structure and biogenesis
235	isogroup19818	Intracellular trafficking, secretion, and vesicular transport
236	isogroup24367	Secondary metabolites biosynthesis, transport and catabolism
237	isogroup872	Energy production and conversion
238	isogroup15014	Energy production and conversion
239	isogroup17219	Posttranslational modification, protein turnover, chaperones
240	isogroup8801	Replication, recombination and repair
241	isogroup25991	Intracellular trafficking, secretion, and vesicular transport
242	isogroup25991	Nuclear structure
243	isogroup89	
244	isogroup25417	Transcription
245	isogroup25417	Replication, recombination and repair
246	isogroup25417	Signal transduction mechanisms
247	isogroup8058	RNA processing and modification
248	isogroup10026	Lipid transport and metabolism
249	isogroup18007	Intracellular trafficking, secretion, and vesicular transport
250	isogroup12206	Amino acid transport and metabolism
251	isogroup12229	
252	isogroup18491	Signal transduction mechanisms
253	isogroup27770	Chromatin structure and dynamics
254	isogroup11916	Lipid transport and metabolism
255	isogroup11916	Secondary metabolites biosynthesis, transport and catabolism
256	isogroup22289	
257	isogroup1675	Replication, recombination and repair
258	isogroup649	Carbohydrate transport and metabolism
259	isogroup1318	Carbohydrate transport and metabolism
260	isogroup13383	
261	isogroup19145	Replication, recombination and repair
262	isogroup16804	
263	isogroup13038	Energy production and conversion
264	isogroup13038	Posttranslational modification, protein turnover, chaperones
265	isogroup10597	Inorganic ion transport and metabolism
266	isogroup9286	Nucleotide transport and metabolism
267	isogroup2673	Coenzyme transport and metabolism
268	isogroup412	Intracellular trafficking, secretion, and vesicular transport
269	isogroup6239	Transcription
270	isogroup9293	Signal transduction mechanisms
271	isogroup18421	Intracellular trafficking, secretion, and vesicular transport
272	isogroup18898	Replication, recombination and repair
273	isogroup2893	Chromatin structure and dynamics
274	isogroup2062	Posttranslational modification, protein turnover, chaperones
275	isogroup15242	
276	isogroup2886	Translation, ribosomal structure and biogenesis
277	isogroup13593	Signal transduction mechanisms
278	isogroup2543	Chromatin structure and dynamics
279	isogroup2543	Cell cycle control, cell division, chromosome partitioning
280	isogroup2543	Signal transduction mechanisms
281	isogroup5650	Signal transduction mechanisms
282	isogroup5224	Posttranslational modification, protein turnover, chaperones
283	isogroup20661	Coenzyme transport and metabolism
284	isogroup12909	Translation, ribosomal structure and biogenesis
285	isogroup24920	Replication, recombination and repair
286	isogroup24022	Intracellular trafficking, secretion, and vesicular transport
287	isogroup10885	Intracellular trafficking, secretion, and vesicular transport
288	isogroup17684	Secondary metabolites biosynthesis, transport and catabolism
289	isogroup3969	Signal transduction mechanisms
290	isogroup20951	Signal transduction mechanisms
291	isogroup29114	Amino acid transport and metabolism
292	isogroup25273	Posttranslational modification, protein turnover, chaperones
293	isogroup22561	Posttranslational modification, protein turnover, chaperones
294	isogroup2505	Signal transduction mechanisms
295	isogroup2505	Cytoskeleton
296	isogroup13571	Intracellular trafficking, secretion, and vesicular transport
297	isogroup22248	Inorganic ion transport and metabolism
298	isogroup2936	Signal transduction mechanisms
299	isogroup23665	Posttranslational modification, protein turnover, chaperones
300	isogroup1289	Amino acid transport and metabolism
301	isogroup8280	Transcription
302	isogroup21044	Transcription
303	isogroup6113	Carbohydrate transport and metabolism
304	isogroup841	Signal transduction mechanisms
305	isogroup16149	Intracellular trafficking, secretion, and vesicular transport
306	isogroup1751	Amino acid transport and metabolism
307	isogroup8510	Replication, recombination and repair
308	isogroup19121	
309	isogroup474	Posttranslational modification, protein turnover, chaperones
310	isogroup13641	Transcription
311	isogroup27335	Signal transduction mechanisms
312	isogroup25287	Transcription
313	isogroup9497	Signal transduction mechanisms
314	isogroup9497	Intracellular trafficking, secretion, and vesicular transport
315	isogroup2953	Signal transduction mechanisms
316	isogroup6085	RNA processing and modification
317	isogroup18609	Transcription
318	isogroup6715	Posttranslational modification, protein turnover, chaperones
319	isogroup8745	Transcription
320	isogroup17568	Cell wall/membrane/envelope biogenesis
321	isogroup13342	Signal transduction mechanisms
322	isogroup7910	Intracellular trafficking, secretion, and vesicular transport
323	isogroup7910	Cytoskeleton
324	isogroup23151	
325	isogroup14016	Carbohydrate transport and metabolism
326	isogroup5632	Posttranslational modification, protein turnover, chaperones
327	isogroup10681	Replication, recombination and repair
328	isogroup11475	Carbohydrate transport and metabolism
329	isogroup23699	Posttranslational modification, protein turnover, chaperones
330	isogroup17541	Posttranslational modification, protein turnover, chaperones
331	isogroup19488	Posttranslational modification, protein turnover, chaperones
332	isogroup8889	Posttranslational modification, protein turnover, chaperones
333	isogroup28377	Signal transduction mechanisms
334	isogroup10451	Signal transduction mechanisms
335	isogroup4276	Nucleotide transport and metabolism
336	isogroup17792	Secondary metabolites biosynthesis, transport and catabolism
337	isogroup28839	Secondary metabolites biosynthesis, transport and catabolism
338	isogroup9563	
339	isogroup10671	Amino acid transport and metabolism
340	isogroup18994	Posttranslational modification, protein turnover, chaperones
341	isogroup14909	Amino acid transport and metabolism
342	isogroup1655	
343	isogroup26920	Cytoskeleton
344	isogroup25440	Replication, recombination and repair
345	isogroup17516	Chromatin structure and dynamics
346	isogroup21261	Posttranslational modification, protein turnover, chaperones
347	isogroup16110	Intracellular trafficking, secretion, and vesicular transport
348	isogroup15814	Cell wall/membrane/envelope biogenesis
349	isogroup26626	Signal transduction mechanisms
350	isogroup9924	Replication, recombination and repair
351	isogroup1125	Secondary metabolites biosynthesis, transport and catabolism
352	isogroup2806	
353	isogroup7922	Replication, recombination and repair
354	isogroup17535	Amino acid transport and metabolism
355	isogroup23240	Energy production and conversion
356	isogroup3880	Secondary metabolites biosynthesis, transport and catabolism
357	isogroup10498	Signal transduction mechanisms
358	isogroup5159	Replication, recombination and repair
359	isogroup25491	Carbohydrate transport and metabolism
360	isogroup8352	Secondary metabolites biosynthesis, transport and catabolism
361	isogroup26096	Posttranslational modification, protein turnover, chaperones
362	isogroup16262	Secondary metabolites biosynthesis, transport and catabolism
363	isogroup19748	Translation, ribosomal structure and biogenesis
364	isogroup5417	Signal transduction mechanisms
365	isogroup23825	Signal transduction mechanisms
366	isogroup8181	Translation, ribosomal structure and biogenesis
367	isogroup20694	Posttranslational modification, protein turnover, chaperones
368	isogroup5299	
369	isogroup3780	Transcription
370	isogroup26727	Cytoskeleton
371	isogroup24761	Signal transduction mechanisms
372	isogroup8992	
373	isogroup18343	Signal transduction mechanisms
374	isogroup26083	
375	isogroup16544	Posttranslational modification, protein turnover, chaperones
376	isogroup27188	Posttranslational modification, protein turnover, chaperones
377	isogroup10135	Coenzyme transport and metabolism
378	isogroup2979	Amino acid transport and metabolism
379	isogroup2961	Cell cycle control, cell division, chromosome partitioning
380	isogroup2961	Signal transduction mechanisms
381	isogroup2961	Cytoskeleton
382	isogroup19045	Posttranslational modification, protein turnover, chaperones
383	isogroup11215	Intracellular trafficking, secretion, and vesicular transport
384	isogroup23066	Lipid transport and metabolism
385	isogroup23066	Secondary metabolites biosynthesis, transport and catabolism
386	isogroup735	
387	isogroup24710	Carbohydrate transport and metabolism
388	isogroup20584	Signal transduction mechanisms
389	isogroup15332	Energy production and conversion
390	isogroup15332	Coenzyme transport and metabolism
391	isogroup28111	Transcription
392	isogroup1271	Posttranslational modification, protein turnover, chaperones
393	isogroup6921	Translation, ribosomal structure and biogenesis
394	isogroup26829	Cytoskeleton
395	isogroup9713	Signal transduction mechanisms
396	isogroup21771	Transcription
397	isogroup10048	Secondary metabolites biosynthesis, transport and catabolism
398	isogroup15337	Signal transduction mechanisms
399	isogroup21409	Inorganic ion transport and metabolism
400	isogroup14613	Transcription
401	isogroup1710	Signal transduction mechanisms
402	isogroup9710	Intracellular trafficking, secretion, and vesicular transport
403	isogroup25359	
404	isogroup26020	
405	isogroup14653	Posttranslational modification, protein turnover, chaperones
406	isogroup5476	
407	isogroup12371	Coenzyme transport and metabolism
408	isogroup4132	Replication, recombination and repair
409	isogroup1118	Cytoskeleton
410	isogroup16019	Signal transduction mechanisms
411	isogroup5152	Cell cycle control, cell division, chromosome partitioning
412	isogroup7732	
413	isogroup5564	Cytoskeleton
414	isogroup5561	RNA processing and modification
415	isogroup4191	Posttranslational modification, protein turnover, chaperones
416	isogroup457	Lipid transport and metabolism
417	isogroup22886	Chromatin structure and dynamics
418	isogroup16941	Translation, ribosomal structure and biogenesis
419	isogroup2497	Intracellular trafficking, secretion, and vesicular transport
420	isogroup16523	Lipid transport and metabolism
421	isogroup25630	Cytoskeleton
422	isogroup3687	Chromatin structure and dynamics
423	isogroup3687	Signal transduction mechanisms
424	isogroup19539	Signal transduction mechanisms
425	isogroup12862	Amino acid transport and metabolism
426	isogroup12591	Cytoskeleton
427	isogroup2824	Posttranslational modification, protein turnover, chaperones
428	isogroup4597	Transcription
429	isogroup11823	Carbohydrate transport and metabolism
430	isogroup18193	Translation, ribosomal structure and biogenesis
431	isogroup14583	RNA processing and modification
432	isogroup3208	Transcription
433	isogroup15505	Lipid transport and metabolism
434	isogroup8976	Signal transduction mechanisms
435	isogroup29139	Signal transduction mechanisms
436	isogroup25565	Lipid transport and metabolism
437	isogroup2312	Signal transduction mechanisms
438	isogroup15407	Transcription
439	isogroup16796	
440	isogroup17062	Carbohydrate transport and metabolism
441	isogroup15067	Cell wall/membrane/envelope biogenesis
442	isogroup3761	
443	isogroup883	Intracellular trafficking, secretion, and vesicular transport
444	isogroup17920	Intracellular trafficking, secretion, and vesicular transport
445	isogroup17069	Carbohydrate transport and metabolism
446	isogroup18911	Carbohydrate transport and metabolism
447	isogroup18911	Cell wall/membrane/envelope biogenesis
448	isogroup6058	Inorganic ion transport and metabolism
449	isogroup21627	Inorganic ion transport and metabolism
450	isogroup21627	Signal transduction mechanisms
451	isogroup17726	RNA processing and modification
452	isogroup19663	Posttranslational modification, protein turnover, chaperones
453	isogroup28984	Carbohydrate transport and metabolism
454	isogroup25057	Carbohydrate transport and metabolism
455	isogroup25161	RNA processing and modification
456	isogroup3618	Signal transduction mechanisms
457	isogroup3275	Signal transduction mechanisms
458	isogroup20290	Lipid transport and metabolism
459	isogroup8330	Carbohydrate transport and metabolism
460	isogroup5976	Translation, ribosomal structure and biogenesis
461	isogroup2380	Extracellular structures
462	isogroup24036	Posttranslational modification, protein turnover, chaperones
463	isogroup24036	Signal transduction mechanisms
464	isogroup20373	Signal transduction mechanisms
465	isogroup17868	Inorganic ion transport and metabolism
466	isogroup3549	Transcription
467	isogroup5410	Energy production and conversion
468	isogroup25889	Translation, ribosomal structure and biogenesis
469	isogroup18038	Signal transduction mechanisms
470	isogroup28677	RNA processing and modification
471	isogroup19517	Signal transduction mechanisms
472	isogroup7527	Signal transduction mechanisms
473	isogroup11523	Transcription
474	isogroup28945	Posttranslational modification, protein turnover, chaperones
475	isogroup8912	Signal transduction mechanisms
476	isogroup17788	Lipid transport and metabolism
477	isogroup17788	Signal transduction mechanisms
478	isogroup28060	Posttranslational modification, protein turnover, chaperones
479	isogroup18552	Carbohydrate transport and metabolism
480	isogroup9722	Inorganic ion transport and metabolism
481	isogroup21899	Posttranslational modification, protein turnover, chaperones
482	isogroup7049	Secondary metabolites biosynthesis, transport and catabolism
483	isogroup28980	Carbohydrate transport and metabolism
484	isogroup17237	Chromatin structure and dynamics
485	isogroup17237	Signal transduction mechanisms
486	isogroup24223	Signal transduction mechanisms
487	isogroup23047	Replication, recombination and repair
488	isogroup15559	
489	isogroup29236	Cytoskeleton
490	isogroup12196	Inorganic ion transport and metabolism
491	isogroup2307	Signal transduction mechanisms
492	isogroup22697	Inorganic ion transport and metabolism
493	isogroup22697	Signal transduction mechanisms
494	isogroup2706	Inorganic ion transport and metabolism
495	isogroup6609	Cell cycle control, cell division, chromosome partitioning
496	isogroup9200	Replication, recombination and repair
497	isogroup20162	Transcription
498	isogroup27004	Signal transduction mechanisms
499	isogroup19575	Cell cycle control, cell division, chromosome partitioning
500	isogroup2133	Signal transduction mechanisms
501	isogroup26380	
502	isogroup28255	Replication, recombination and repair
503	isogroup4722	Energy production and conversion
504	isogroup13894	Intracellular trafficking, secretion, and vesicular transport
505	isogroup24819	Replication, recombination and repair
506	isogroup4662	Intracellular trafficking, secretion, and vesicular transport
507	isogroup6033	Intracellular trafficking, secretion, and vesicular transport
508	isogroup15892	Posttranslational modification, protein turnover, chaperones
509	isogroup15356	Signal transduction mechanisms
510	isogroup1083	
511	isogroup28262	Cell cycle control, cell division, chromosome partitioning
512	isogroup27759	
513	isogroup6137	Transcription
514	isogroup1792	Carbohydrate transport and metabolism
515	isogroup25063	RNA processing and modification
516	isogroup25037	Replication, recombination and repair
517	isogroup8894	Inorganic ion transport and metabolism
518	isogroup662	
519	isogroup27196	Nucleotide transport and metabolism
520	isogroup6180	Signal transduction mechanisms
521	isogroup22473	Inorganic ion transport and metabolism
522	isogroup124	Transcription
523	isogroup124	Signal transduction mechanisms
524	isogroup25585	Posttranslational modification, protein turnover, chaperones
525	isogroup27939	Nucleotide transport and metabolism
526	isogroup9821	Carbohydrate transport and metabolism
527	isogroup11742	Replication, recombination and repair
528	isogroup25103	Inorganic ion transport and metabolism
529	isogroup17606	Signal transduction mechanisms
530	isogroup2483	Carbohydrate transport and metabolism
531	isogroup22153	Posttranslational modification, protein turnover, chaperones
532	isogroup11699	Posttranslational modification, protein turnover, chaperones
533	isogroup10507	Inorganic ion transport and metabolism
534	isogroup17841	Energy production and conversion
535	isogroup6694	Translation, ribosomal structure and biogenesis
536	isogroup7222	Signal transduction mechanisms
537	isogroup29085	Carbohydrate transport and metabolism
538	isogroup25669	Signal transduction mechanisms
539	isogroup25669	Cytoskeleton
540	isogroup9627	Posttranslational modification, protein turnover, chaperones
541	isogroup27684	Defense mechanisms
542	isogroup4360	
543	isogroup3823	Signal transduction mechanisms
544	isogroup27346	Translation, ribosomal structure and biogenesis
545	isogroup23599	Posttranslational modification, protein turnover, chaperones
546	isogroup14158	Coenzyme transport and metabolism
547	isogroup25712	Carbohydrate transport and metabolism
548	isogroup8198	Posttranslational modification, protein turnover, chaperones
549	isogroup2500	Chromatin structure and dynamics
550	isogroup16399	Transcription
551	isogroup3162	Transcription
552	isogroup26454	Posttranslational modification, protein turnover, chaperones
553	isogroup351	Amino acid transport and metabolism
554	isogroup12294	Carbohydrate transport and metabolism
555	isogroup17331	Lipid transport and metabolism
556	isogroup17331	Secondary metabolites biosynthesis, transport and catabolism
557	isogroup26794	Posttranslational modification, protein turnover, chaperones
558	isogroup20607	Posttranslational modification, protein turnover, chaperones
559	isogroup9127	Carbohydrate transport and metabolism
560	isogroup9127	Cell wall/membrane/envelope biogenesis
561	isogroup18441	Signal transduction mechanisms
562	isogroup16726	RNA processing and modification
563	isogroup11052	Carbohydrate transport and metabolism
564	isogroup16939	Signal transduction mechanisms
565	isogroup16939	Chromatin structure and dynamics
566	isogroup16939	Cell cycle control, cell division, chromosome partitioning
567	isogroup16939	Replication, recombination and repair
568	isogroup14375	Transcription
569	isogroup8322	Amino acid transport and metabolism
570	isogroup10921	Signal transduction mechanisms
571	isogroup21414	Signal transduction mechanisms
572	isogroup3664	Posttranslational modification, protein turnover, chaperones
573	isogroup19807	Cytoskeleton
574	isogroup16534	Signal transduction mechanisms
575	isogroup10433	Signal transduction mechanisms
576	isogroup2753	Posttranslational modification, protein turnover, chaperones
577	isogroup22484	Inorganic ion transport and metabolism
578	isogroup6880	
579	isogroup22857	Replication, recombination and repair
580	isogroup24576	Energy production and conversion
581	isogroup18513	Posttranslational modification, protein turnover, chaperones
582	isogroup18513	Inorganic ion transport and metabolism
583	isogroup15911	Transcription
584	isogroup3230	Translation, ribosomal structure and biogenesis
585	isogroup28950	Signal transduction mechanisms
586	isogroup13554	Amino acid transport and metabolism
587	isogroup19966	Posttranslational modification, protein turnover, chaperones
588	isogroup2242	Cytoskeleton
589	isogroup26215	Energy production and conversion
590	isogroup17427	Transcription
591	isogroup644	Transcription
592	isogroup20919	Signal transduction mechanisms
593	isogroup25201	Translation, ribosomal structure and biogenesis
594	isogroup11358	Transcription
595	isogroup29157	Posttranslational modification, protein turnover, chaperones
596	isogroup15049	Secondary metabolites biosynthesis, transport and catabolism
597	isogroup9207	Cytoskeleton
598	isogroup3330	
599	isogroup17861	Transcription
600	isogroup26786	Cell wall/membrane/envelope biogenesis
601	isogroup3231	Extracellular structures
602	isogroup14361	Nucleotide transport and metabolism
603	isogroup25765	Amino acid transport and metabolism
604	isogroup14735	Cytoskeleton
605	isogroup7996	Translation, ribosomal structure and biogenesis
606	isogroup4857	Intracellular trafficking, secretion, and vesicular transport
607	isogroup9231	RNA processing and modification
608	isogroup1902	Energy production and conversion
609	isogroup7503	Signal transduction mechanisms
610	isogroup7503	Cytoskeleton
611	isogroup24007	Amino acid transport and metabolism
612	isogroup4394	Cell wall/membrane/envelope biogenesis
613	isogroup10510	Cell cycle control, cell division, chromosome partitioning
614	isogroup26719	Lipid transport and metabolism
615	isogroup5796	Replication, recombination and repair
616	isogroup22002	Cytoskeleton
617	isogroup12461	Posttranslational modification, protein turnover, chaperones
618	isogroup14680	Cytoskeleton
619	isogroup16889	
620	isogroup14344	Signal transduction mechanisms
621	isogroup12364	Translation, ribosomal structure and biogenesis
622	isogroup13244	Carbohydrate transport and metabolism
623	isogroup4669	Posttranslational modification, protein turnover, chaperones
624	isogroup5173	Amino acid transport and metabolism
625	isogroup5245	Cytoskeleton
626	isogroup5453	Defense mechanisms
627	isogroup427	Inorganic ion transport and metabolism
628	isogroup5121	Signal transduction mechanisms
629	isogroup5121	Intracellular trafficking, secretion, and vesicular transport
630	isogroup26883	Signal transduction mechanisms
631	isogroup15078	Inorganic ion transport and metabolism
632	isogroup13802	Energy production and conversion
633	isogroup13455	Transcription
634	isogroup13455	Replication, recombination and repair
635	isogroup13455	Signal transduction mechanisms
636	isogroup4299	Transcription
637	isogroup22070	Translation, ribosomal structure and biogenesis
