seq	term
Oarb_103057_c1_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_103074_c1_g2	"Signal transduction mechanisms"
Oarb_103124_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_103159_c0_g1	"Chromatin structure and dynamics"
Oarb_103166_c2_g1	"Inorganic ion transport and metabolism"
Oarb_103179_c4_g1	"Signal transduction mechanisms"
Oarb_103183_c4_g1	""
Oarb_103244_c1_g1	"RNA processing and modification"
Oarb_103258_c2_g2	"Amino acid transport and metabolism"
Oarb_103298_c0_g1	"Transcription"
Oarb_103317_c1_g1	"Amino acid transport and metabolism"
Oarb_103379_c2_g1	"Signal transduction mechanisms"
Oarb_103425_c2_g1	"Transcription"
Oarb_103456_c0_g1	"Energy production and conversion"
Oarb_103492_c1_g1	"Transcription"
Oarb_103614_c2_g3	"Cell wall/membrane/envelope biogenesis"
Oarb_103685_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_103712_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_103717_c2_g1	"Translation, ribosomal structure and biogenesis"
Oarb_103725_c4_g1	"Nucleotide transport and metabolism"
Oarb_103807_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_103807_c2_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_103812_c2_g1	"Cytoskeleton"
Oarb_103826_c5_g2	"Translation, ribosomal structure and biogenesis"
Oarb_103830_c4_g4	"Nucleotide transport and metabolism"
Oarb_103858_c2_g6	"Replication, recombination and repair"
Oarb_103883_c0_g1	"Chromatin structure and dynamics"
Oarb_103892_c4_g1	"Inorganic ion transport and metabolism"
Oarb_103900_c1_g1	"Signal transduction mechanisms"
Oarb_103934_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_103934_c1_g1	"Transcription"
Oarb_103958_c3_g6	"Cell cycle control, cell division, chromosome partitioning"
Oarb_103962_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_103973_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_103980_c1_g1	"Replication, recombination and repair"
Oarb_104000_c6_g1	""
Oarb_104010_c1_g1	"RNA processing and modification"
Oarb_104034_c0_g1	"Cytoskeleton"
Oarb_104052_c3_g2	"Transcription"
Oarb_104084_c2_g1	"Chromatin structure and dynamics"
Oarb_104085_c1_g1	""
Oarb_104126_c0_g1	"Signal transduction mechanisms"
Oarb_104169_c0_g1	""
Oarb_104169_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_104198_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_104214_c0_g4	"Inorganic ion transport and metabolism"
Oarb_104228_c3_g1	"Signal transduction mechanisms"
Oarb_104241_c2_g1	"Transcription"
Oarb_104252_c0_g1	""
Oarb_104330_c8_g2	""
Oarb_104403_c3_g1	"Cytoskeleton"
Oarb_104416_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_104426_c0_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_104458_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_104462_c3_g1	"Cytoskeleton"
Oarb_104516_c0_g1	"Signal transduction mechanisms"
Oarb_104552_c0_g1	"Cytoskeleton"
Oarb_104569_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_104575_c5_g1	"Signal transduction mechanisms"
Oarb_104582_c4_g1	"Defense mechanisms"
Oarb_104590_c4_g5	"Posttranslational modification, protein turnover, chaperones"
Oarb_104611_c0_g1	"Signal transduction mechanisms"
Oarb_104623_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_104625_c5_g1	"Cytoskeleton"
Oarb_104641_c4_g1	"Signal transduction mechanisms"
Oarb_104665_c0_g1	"RNA processing and modification"
Oarb_104740_c4_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_104740_c4_g1	"RNA processing and modification"
Oarb_104746_c8_g1	""
Oarb_104752_c1_g1	"Energy production and conversion"
Oarb_104752_c1_g2	"Energy production and conversion"
Oarb_104771_c0_g1	"Lipid transport and metabolism"
Oarb_104782_c0_g1	"Signal transduction mechanisms"
Oarb_104821_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_104868_c4_g1	"Chromatin structure and dynamics"
Oarb_104899_c0_g1	"Amino acid transport and metabolism"
Oarb_104927_c10_g1	""
Oarb_105004_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_105093_c1_g1	"RNA processing and modification"
Oarb_105105_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_105111_c6_g2	"Signal transduction mechanisms"
Oarb_105136_c1_g5	"Energy production and conversion"
Oarb_105184_c3_g1	""
Oarb_105188_c0_g1	"Extracellular structures"
Oarb_105188_c0_g2	"Extracellular structures"
Oarb_105199_c1_g1	"Carbohydrate transport and metabolism"
Oarb_105283_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_105292_c3_g1	"Inorganic ion transport and metabolism"
Oarb_105314_c1_g2	""
Oarb_105315_c6_g6	"Energy production and conversion"
Oarb_105337_c2_g2	"Signal transduction mechanisms"
Oarb_105346_c0_g2	"Nucleotide transport and metabolism"
Oarb_105362_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_105377_c0_g2	"Energy production and conversion"
Oarb_105396_c0_g1	""
Oarb_105407_c4_g1	"Signal transduction mechanisms"
Oarb_105437_c2_g1	"RNA processing and modification"
Oarb_105483_c1_g1	"Lipid transport and metabolism"
Oarb_105511_c4_g1	"RNA processing and modification"
Oarb_105518_c4_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_105525_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_105531_c4_g5	"Signal transduction mechanisms"
Oarb_105594_c1_g4	""
Oarb_105686_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_105686_c0_g2	"Signal transduction mechanisms"
Oarb_105727_c3_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_105782_c1_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_105799_c1_g2	"Translation, ribosomal structure and biogenesis"
Oarb_105815_c5_g1	"Transcription"
Oarb_105890_c6_g4	"Transcription"
Oarb_105896_c1_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_105900_c2_g1	"Cytoskeleton"
Oarb_105955_c3_g2	"Inorganic ion transport and metabolism"
Oarb_105965_c0_g1	"RNA processing and modification"
Oarb_105978_c0_g1	"Amino acid transport and metabolism"
Oarb_106069_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_106091_c0_g5	"Inorganic ion transport and metabolism"
Oarb_106102_c6_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_106141_c0_g3	""
Oarb_106188_c6_g2	"Signal transduction mechanisms"
Oarb_106192_c0_g4	"Carbohydrate transport and metabolism"
Oarb_106253_c0_g1	"Carbohydrate transport and metabolism"
Oarb_106304_c1_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_106371_c0_g1	"Carbohydrate transport and metabolism"
Oarb_106419_c1_g1	"Replication, recombination and repair"
Oarb_106422_c5_g2	""
Oarb_106426_c2_g4	"Signal transduction mechanisms"
Oarb_106435_c3_g2	"Signal transduction mechanisms"
Oarb_106459_c4_g1	"Nucleotide transport and metabolism"
Oarb_106460_c3_g1	"Replication, recombination and repair"
Oarb_106465_c4_g1	"Signal transduction mechanisms"
Oarb_106470_c4_g1	"Extracellular structures"
Oarb_106483_c5_g1	"Signal transduction mechanisms"
Oarb_106497_c6_g1	""
Oarb_106535_c3_g1	"Amino acid transport and metabolism"
Oarb_106545_c2_g1	"Signal transduction mechanisms"
Oarb_106565_c0_g1	"Carbohydrate transport and metabolism"
Oarb_106582_c2_g3	"Cell wall/membrane/envelope biogenesis"
Oarb_106592_c4_g2	"Signal transduction mechanisms"
Oarb_106653_c3_g3	"Translation, ribosomal structure and biogenesis"
Oarb_106655_c5_g2	"Replication, recombination and repair"
Oarb_106656_c2_g1	"Signal transduction mechanisms"
Oarb_106691_c4_g1	"Cytoskeleton"
Oarb_106707_c1_g3	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_106721_c4_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_106773_c8_g1	"Transcription"
Oarb_106825_c4_g1	"Replication, recombination and repair"
Oarb_106839_c1_g2	"Translation, ribosomal structure and biogenesis"
Oarb_106844_c1_g3	""
Oarb_106851_c0_g1	"RNA processing and modification"
Oarb_106906_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_106922_c1_g2	"Replication, recombination and repair"
Oarb_106936_c4_g1	"Replication, recombination and repair"
Oarb_106948_c3_g4	"Posttranslational modification, protein turnover, chaperones"
Oarb_107015_c7_g2	"Transcription"
Oarb_107061_c1_g1	"Signal transduction mechanisms"
Oarb_107149_c2_g1	"Carbohydrate transport and metabolism"
Oarb_107159_c0_g1	"Signal transduction mechanisms"
Oarb_107165_c1_g1	"Signal transduction mechanisms"
Oarb_107176_c2_g1	"Signal transduction mechanisms"
Oarb_107186_c0_g2	"Signal transduction mechanisms"
Oarb_107311_c1_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_107341_c1_g3	"Signal transduction mechanisms"
Oarb_107341_c1_g4	"Signal transduction mechanisms"
Oarb_107352_c5_g1	"Signal transduction mechanisms"
Oarb_107360_c3_g1	"Replication, recombination and repair"
Oarb_107399_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_107399_c0_g1	"Signal transduction mechanisms"
Oarb_107425_c3_g1	"Replication, recombination and repair"
Oarb_107461_c4_g3	"Signal transduction mechanisms"
Oarb_107499_c1_g3	""
Oarb_107499_c7_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_107508_c3_g1	"Energy production and conversion"
Oarb_107511_c10_g1	"Signal transduction mechanisms"
Oarb_107571_c1_g1	"Signal transduction mechanisms"
Oarb_107606_c2_g1	"Signal transduction mechanisms"
Oarb_107638_c1_g1	"Lipid transport and metabolism"
Oarb_107640_c3_g1	"Signal transduction mechanisms"
Oarb_107681_c7_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_107702_c0_g1	"Signal transduction mechanisms"
Oarb_107721_c6_g7	"Signal transduction mechanisms"
Oarb_107722_c4_g1	"Cytoskeleton"
Oarb_107765_c1_g1	"Signal transduction mechanisms"
Oarb_107768_c2_g2	"Amino acid transport and metabolism"
Oarb_107796_c0_g1	""
Oarb_107796_c0_g1	"Replication, recombination and repair"
Oarb_107800_c1_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_107801_c0_g1	"Signal transduction mechanisms"
Oarb_107821_c4_g1	"Translation, ribosomal structure and biogenesis"
Oarb_107838_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_107856_c2_g1	"Cytoskeleton"
Oarb_107885_c4_g3	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_107936_c1_g2	"Signal transduction mechanisms"
Oarb_107956_c4_g1	"Replication, recombination and repair"
Oarb_108026_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_108084_c2_g1	"Carbohydrate transport and metabolism"
Oarb_108103_c0_g5	"Inorganic ion transport and metabolism"
Oarb_108113_c1_g1	"Carbohydrate transport and metabolism"
Oarb_108124_c1_g1	""
Oarb_108129_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_108161_c4_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_108167_c4_g1	"Cytoskeleton"
Oarb_108223_c0_g2	"Signal transduction mechanisms"
Oarb_108243_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_108243_c3_g3	"Signal transduction mechanisms"
Oarb_108243_c3_g4	""
Oarb_108248_c6_g1	"Carbohydrate transport and metabolism"
Oarb_108263_c0_g1	"Transcription"
Oarb_108308_c7_g1	"Nucleotide transport and metabolism"
Oarb_108327_c1_g1	"Signal transduction mechanisms"
Oarb_108382_c5_g1	"Amino acid transport and metabolism"
Oarb_108404_c4_g5	"Signal transduction mechanisms"
Oarb_108496_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_108504_c2_g1	"Signal transduction mechanisms"
Oarb_108519_c6_g3	"Coenzyme transport and metabolism"
Oarb_108522_c7_g1	"Energy production and conversion"
Oarb_108538_c4_g1	"Signal transduction mechanisms"
Oarb_108541_c7_g1	"Carbohydrate transport and metabolism"
Oarb_108589_c0_g1	"Amino acid transport and metabolism"
Oarb_108594_c1_g1	"Signal transduction mechanisms"
Oarb_108603_c2_g1	"Signal transduction mechanisms"
Oarb_108641_c1_g2	""
Oarb_108654_c7_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_108722_c0_g2	"Energy production and conversion"
Oarb_108816_c2_g6	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_108832_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_108836_c3_g1	"Amino acid transport and metabolism"
Oarb_108857_c2_g3	"Defense mechanisms"
Oarb_108891_c6_g1	"RNA processing and modification"
Oarb_108908_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_108928_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_108950_c5_g1	"Signal transduction mechanisms"
Oarb_108967_c2_g1	"Translation, ribosomal structure and biogenesis"
Oarb_108981_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_108987_c3_g1	"Coenzyme transport and metabolism"
Oarb_108992_c1_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_109007_c1_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_109088_c0_g1	""
Oarb_109113_c1_g3	"Cytoskeleton"
Oarb_109122_c4_g4	"Posttranslational modification, protein turnover, chaperones"
Oarb_109131_c6_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_109132_c2_g3	"Carbohydrate transport and metabolism"
Oarb_109166_c1_g2	"Signal transduction mechanisms"
Oarb_109183_c0_g2	"Carbohydrate transport and metabolism"
Oarb_109183_c0_g3	"Carbohydrate transport and metabolism"
Oarb_109185_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_109212_c0_g1	"Cytoskeleton"
Oarb_109231_c1_g1	"Signal transduction mechanisms"
Oarb_109342_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_109385_c1_g1	"Replication, recombination and repair"
Oarb_109410_c6_g2	""
Oarb_109416_c0_g1	"Transcription"
Oarb_109444_c5_g1	"Replication, recombination and repair"
Oarb_109463_c2_g1	""
Oarb_109470_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_109484_c3_g1	"Cytoskeleton"
Oarb_109494_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_109532_c1_g2	"Amino acid transport and metabolism"
Oarb_109557_c1_g2	""
Oarb_109558_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_109576_c2_g1	"Transcription"
Oarb_109592_c4_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_109623_c4_g1	""
Oarb_109633_c0_g1	"Chromatin structure and dynamics"
Oarb_109633_c0_g1	"Transcription"
Oarb_109639_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_109643_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_109673_c5_g1	"Signal transduction mechanisms"
Oarb_109687_c4_g1	""
Oarb_109696_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_109703_c3_g2	"Chromatin structure and dynamics"
Oarb_109704_c1_g1	""
Oarb_109704_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_109712_c1_g1	"Signal transduction mechanisms"
Oarb_109777_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_109789_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_109798_c0_g1	"Signal transduction mechanisms"
Oarb_109802_c3_g1	"RNA processing and modification"
Oarb_109855_c4_g1	"Signal transduction mechanisms"
Oarb_109858_c3_g1	""
Oarb_109878_c4_g3	"Signal transduction mechanisms"
Oarb_109897_c3_g1	"Cytoskeleton"
Oarb_109907_c3_g1	"Nucleotide transport and metabolism"
Oarb_109907_c3_g3	"Nucleotide transport and metabolism"
Oarb_109939_c1_g1	"Transcription"
Oarb_109945_c2_g1	"Signal transduction mechanisms"
Oarb_109946_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_109957_c1_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_110012_c1_g1	"Signal transduction mechanisms"
Oarb_110074_c8_g2	"Carbohydrate transport and metabolism"
Oarb_110097_c3_g2	""
Oarb_110100_c5_g4	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_110148_c1_g1	"Transcription"
Oarb_110154_c6_g3	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_110154_c7_g1	"Signal transduction mechanisms"
Oarb_110157_c2_g6	"Translation, ribosomal structure and biogenesis"
Oarb_110171_c3_g1	"Inorganic ion transport and metabolism"
Oarb_110242_c8_g1	"Carbohydrate transport and metabolism"
Oarb_110253_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_110253_c2_g10	""
Oarb_110278_c2_g2	"Signal transduction mechanisms"
Oarb_110343_c5_g1	"Amino acid transport and metabolism"
Oarb_110351_c0_g1	"Signal transduction mechanisms"
Oarb_110358_c0_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_110358_c0_g2	"Transcription"
Oarb_110382_c2_g1	""
Oarb_110396_c0_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_110396_c0_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_110419_c3_g1	"Replication, recombination and repair"
Oarb_110497_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_110552_c3_g1	"Cytoskeleton"
Oarb_110556_c3_g1	"Lipid transport and metabolism"
Oarb_110570_c1_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_110594_c5_g1	"Chromatin structure and dynamics"
Oarb_110608_c1_g2	"Signal transduction mechanisms"
Oarb_110610_c6_g1	"Translation, ribosomal structure and biogenesis"
Oarb_110622_c0_g2	"Signal transduction mechanisms"
Oarb_110639_c2_g3	"Signal transduction mechanisms"
Oarb_110652_c2_g1	"Carbohydrate transport and metabolism"
Oarb_110681_c4_g3	""
Oarb_110684_c1_g1	"Carbohydrate transport and metabolism"
Oarb_110691_c5_g1	"Nucleotide transport and metabolism"
Oarb_110693_c5_g2	"Extracellular structures"
Oarb_110693_c5_g2	"Signal transduction mechanisms"
Oarb_110722_c1_g3	"Cell wall/membrane/envelope biogenesis"
Oarb_110807_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_110861_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_110887_c2_g1	"Cytoskeleton"
Oarb_110893_c3_g1	"Transcription"
Oarb_110899_c4_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_110916_c0_g1	"Coenzyme transport and metabolism"
Oarb_110954_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_110961_c2_g4	"Signal transduction mechanisms"
Oarb_110961_c2_g4	"Transcription"
Oarb_110965_c4_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_111041_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_111070_c6_g1	"RNA processing and modification"
Oarb_111081_c0_g2	"Signal transduction mechanisms"
Oarb_111094_c5_g4	"Transcription"
Oarb_111125_c1_g1	"Signal transduction mechanisms"
Oarb_111152_c10_g1	"Replication, recombination and repair"
Oarb_111226_c0_g3	"Signal transduction mechanisms"
Oarb_111256_c0_g1	"Transcription"
Oarb_111294_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_111321_c5_g1	"Signal transduction mechanisms"
Oarb_111323_c0_g3	""
Oarb_111326_c1_g6	"Cell wall/membrane/envelope biogenesis"
Oarb_111420_c0_g1	"Transcription"
Oarb_111422_c3_g1	"Carbohydrate transport and metabolism"
Oarb_111498_c2_g1	"Carbohydrate transport and metabolism"
Oarb_111526_c7_g2	"Amino acid transport and metabolism"
Oarb_111569_c0_g1	""
Oarb_111571_c5_g1	"Cytoskeleton"
Oarb_111608_c6_g1	"Inorganic ion transport and metabolism"
Oarb_111628_c3_g4	"Posttranslational modification, protein turnover, chaperones"
Oarb_111642_c1_g1	"Signal transduction mechanisms"
Oarb_111665_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_111666_c0_g1	"Carbohydrate transport and metabolism"
Oarb_111673_c1_g2	""
Oarb_111697_c0_g1	"Carbohydrate transport and metabolism"
Oarb_111742_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_111748_c4_g1	"Transcription"
Oarb_111762_c0_g1	"Carbohydrate transport and metabolism"
Oarb_111764_c2_g1	"Extracellular structures"
Oarb_111764_c2_g1	"Signal transduction mechanisms"
Oarb_111802_c1_g2	"Signal transduction mechanisms"
Oarb_111832_c6_g1	"Cytoskeleton"
Oarb_111860_c0_g1	"Amino acid transport and metabolism"
Oarb_111860_c0_g1	"Carbohydrate transport and metabolism"
Oarb_111881_c9_g1	"Lipid transport and metabolism"
Oarb_111884_c5_g4	"Signal transduction mechanisms"
Oarb_111890_c0_g1	"Signal transduction mechanisms"
Oarb_111937_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_111945_c1_g1	"Replication, recombination and repair"
Oarb_111954_c0_g2	"Amino acid transport and metabolism"
Oarb_111962_c7_g1	"Chromatin structure and dynamics"
Oarb_111965_c7_g1	"Amino acid transport and metabolism"
Oarb_111971_c5_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_111979_c1_g2	"Chromatin structure and dynamics"
Oarb_111979_c1_g6	"Chromatin structure and dynamics"
