seq	term
53	NVE80	Energy production and conversion
54	NVE81	Cell cycle control, cell division, chromosome partitioning
55	NVE81	Signal transduction mechanisms
56	NVE81	Cytoskeleton
57	NVE85	Cytoskeleton
58	NVE88	Cytoskeleton
59	NVE91	Carbohydrate transport and metabolism
60	NVE93	Nucleotide transport and metabolism
61	NVE100	Energy production and conversion
62	NVE101	Transcription
63	NVE102	
64	NVE105	Signal transduction mechanisms
65	NVE106	Posttranslational modification, protein turnover, chaperones
66	NVE109	Transcription
67	NVE110	Intracellular trafficking, secretion, and vesicular transport
68	NVE111	RNA processing and modification
69	NVE112	Translation, ribosomal structure and biogenesis
70	NVE118	
71	NVE126	Inorganic ion transport and metabolism
72	NVE127	Signal transduction mechanisms
73	NVE127	Cytoskeleton
74	NVE131	Posttranslational modification, protein turnover, chaperones
75	NVE133	Signal transduction mechanisms
76	NVE133	Intracellular trafficking, secretion, and vesicular transport
77	NVE134	Intracellular trafficking, secretion, and vesicular transport
78	NVE142	Signal transduction mechanisms
79	NVE150	Lipid transport and metabolism
80	NVE154	Posttranslational modification, protein turnover, chaperones
81	NVE155	Signal transduction mechanisms
82	NVE160	Signal transduction mechanisms
83	NVE161	Signal transduction mechanisms
84	NVE163	Extracellular structures
85	NVE165	
86	NVE166	
87	NVE168	Signal transduction mechanisms
88	NVE169	Signal transduction mechanisms
89	NVE171	Energy production and conversion
90	NVE172	Carbohydrate transport and metabolism
91	NVE173	Signal transduction mechanisms
92	NVE174	Secondary metabolites biosynthesis, transport and catabolism
93	NVE175	Signal transduction mechanisms
94	NVE176	Posttranslational modification, protein turnover, chaperones
95	NVE184	Signal transduction mechanisms
96	NVE185	Signal transduction mechanisms
97	NVE186	Posttranslational modification, protein turnover, chaperones
98	NVE188	Signal transduction mechanisms
99	NVE190	Posttranslational modification, protein turnover, chaperones
100	NVE191	Signal transduction mechanisms
101	NVE193	Amino acid transport and metabolism
102	NVE194	Amino acid transport and metabolism
103	NVE194	Signal transduction mechanisms
104	NVE197	Posttranslational modification, protein turnover, chaperones
105	NVE200	Inorganic ion transport and metabolism
106	NVE200	Signal transduction mechanisms
107	NVE206	Signal transduction mechanisms
108	NVE207	Signal transduction mechanisms
109	NVE209	Translation, ribosomal structure and biogenesis
110	NVE213	Replication, recombination and repair
111	NVE214	Replication, recombination and repair
112	NVE216	Cell wall/membrane/envelope biogenesis
113	NVE217	Posttranslational modification, protein turnover, chaperones
114	NVE218	RNA processing and modification
115	NVE222	Chromatin structure and dynamics
116	NVE223	Posttranslational modification, protein turnover, chaperones
117	NVE224	Nucleotide transport and metabolism
118	NVE225	Cell wall/membrane/envelope biogenesis
119	NVE227	Intracellular trafficking, secretion, and vesicular transport
120	NVE228	Coenzyme transport and metabolism
121	NVE234	Cytoskeleton
122	NVE236	Posttranslational modification, protein turnover, chaperones
123	NVE237	Posttranslational modification, protein turnover, chaperones
124	NVE239	Cell wall/membrane/envelope biogenesis
125	NVE242	Cell cycle control, cell division, chromosome partitioning
126	NVE246	Replication, recombination and repair
127	NVE247	Carbohydrate transport and metabolism
128	NVE247	Signal transduction mechanisms
129	NVE248	Cytoskeleton
130	NVE251	Posttranslational modification, protein turnover, chaperones
131	NVE252	Posttranslational modification, protein turnover, chaperones
132	NVE257	Cell cycle control, cell division, chromosome partitioning
133	NVE258	Transcription
134	NVE260	Posttranslational modification, protein turnover, chaperones
135	NVE261	Cell cycle control, cell division, chromosome partitioning
136	NVE261	Signal transduction mechanisms
137	NVE261	Cytoskeleton
138	NVE262	Cell cycle control, cell division, chromosome partitioning
139	NVE262	Signal transduction mechanisms
140	NVE262	Cytoskeleton
141	NVE266	Cell cycle control, cell division, chromosome partitioning
142	NVE266	Intracellular trafficking, secretion, and vesicular transport
143	NVE268	
144	NVE270	
145	NVE271	Carbohydrate transport and metabolism
146	NVE272	
147	NVE273	Carbohydrate transport and metabolism
148	NVE274	Lipid transport and metabolism
149	NVE280	Transcription
150	NVE282	Intracellular trafficking, secretion, and vesicular transport
151	NVE286	Transcription
152	NVE288	Cell cycle control, cell division, chromosome partitioning
153	NVE288	Signal transduction mechanisms
154	NVE290	Coenzyme transport and metabolism
155	NVE291	Signal transduction mechanisms
156	NVE293	Lipid transport and metabolism
157	NVE293	Signal transduction mechanisms
158	NVE294	Transcription
159	NVE294	Replication, recombination and repair
160	NVE294	Signal transduction mechanisms
161	NVE295	Transcription
162	NVE295	Replication, recombination and repair
163	NVE295	Signal transduction mechanisms
164	NVE296	Cytoskeleton
165	NVE298	Signal transduction mechanisms
166	NVE299	Cytoskeleton
167	NVE300	Coenzyme transport and metabolism
168	NVE306	Signal transduction mechanisms
169	NVE308	
170	NVE313	Inorganic ion transport and metabolism
171	NVE313	Signal transduction mechanisms
172	NVE314	Inorganic ion transport and metabolism
173	NVE314	Signal transduction mechanisms
174	NVE316	RNA processing and modification
175	NVE319	Posttranslational modification, protein turnover, chaperones
176	NVE320	Cytoskeleton
177	NVE321	Posttranslational modification, protein turnover, chaperones
178	NVE322	Posttranslational modification, protein turnover, chaperones
179	NVE325	Cell cycle control, cell division, chromosome partitioning
180	NVE326	Cell wall/membrane/envelope biogenesis
181	NVE327	Cell wall/membrane/envelope biogenesis
182	NVE328	Signal transduction mechanisms
183	NVE329	Amino acid transport and metabolism
184	NVE331	Energy production and conversion
185	NVE333	Cell cycle control, cell division, chromosome partitioning
186	NVE333	Cytoskeleton
187	NVE335	Cell cycle control, cell division, chromosome partitioning
188	NVE335	Cytoskeleton
189	NVE336	Cell cycle control, cell division, chromosome partitioning
190	NVE336	Cytoskeleton
191	NVE337	Lipid transport and metabolism
192	NVE340	
193	NVE344	Intracellular trafficking, secretion, and vesicular transport
194	NVE346	Intracellular trafficking, secretion, and vesicular transport
195	NVE348	Amino acid transport and metabolism
196	NVE348	Nucleotide transport and metabolism
197	NVE349	Posttranslational modification, protein turnover, chaperones
198	NVE350	Coenzyme transport and metabolism
199	NVE351	Posttranslational modification, protein turnover, chaperones
200	NVE352	Transcription
201	NVE356	Signal transduction mechanisms
202	NVE357	Amino acid transport and metabolism
203	NVE363	Energy production and conversion
204	NVE364	Translation, ribosomal structure and biogenesis
205	NVE365	Intracellular trafficking, secretion, and vesicular transport
206	NVE366	Intracellular trafficking, secretion, and vesicular transport
207	NVE372	Carbohydrate transport and metabolism
208	NVE375	Posttranslational modification, protein turnover, chaperones
209	NVE378	Posttranslational modification, protein turnover, chaperones
210	NVE379	Translation, ribosomal structure and biogenesis
211	NVE380	Signal transduction mechanisms
212	NVE385	Lipid transport and metabolism
213	NVE386	Lipid transport and metabolism
214	NVE390	Signal transduction mechanisms
215	NVE391	Signal transduction mechanisms
216	NVE391	Intracellular trafficking, secretion, and vesicular transport
217	NVE395	Lipid transport and metabolism
218	NVE398	Posttranslational modification, protein turnover, chaperones
219	NVE399	Inorganic ion transport and metabolism
220	NVE399	Signal transduction mechanisms
221	NVE401	Intracellular trafficking, secretion, and vesicular transport
222	NVE402	Signal transduction mechanisms
223	NVE403	Intracellular trafficking, secretion, and vesicular transport
224	NVE404	Intracellular trafficking, secretion, and vesicular transport
225	NVE412	Translation, ribosomal structure and biogenesis
226	NVE413	Transcription
227	NVE414	Translation, ribosomal structure and biogenesis
228	NVE415	RNA processing and modification
229	NVE416	Intracellular trafficking, secretion, and vesicular transport
230	NVE419	
231	NVE420	Translation, ribosomal structure and biogenesis
232	NVE422	
233	NVE424	Amino acid transport and metabolism
234	NVE426	Transcription
235	NVE427	Transcription
236	NVE430	Cytoskeleton
237	NVE431	Intracellular trafficking, secretion, and vesicular transport
238	NVE433	Transcription
239	NVE435	Posttranslational modification, protein turnover, chaperones
240	NVE437	
241	NVE438	
242	NVE439	Transcription
243	NVE442	Intracellular trafficking, secretion, and vesicular transport
244	NVE443	Amino acid transport and metabolism
245	NVE444	RNA processing and modification
246	NVE444	Signal transduction mechanisms
247	NVE445	Transcription
248	NVE446	
249	NVE447	Replication, recombination and repair
250	NVE448	Nucleotide transport and metabolism
251	NVE451	Replication, recombination and repair
252	NVE453	Signal transduction mechanisms
253	NVE454	Signal transduction mechanisms
254	NVE456	Extracellular structures
255	NVE457	Chromatin structure and dynamics
256	NVE458	Cytoskeleton
257	NVE459	Intracellular trafficking, secretion, and vesicular transport
258	NVE460	Posttranslational modification, protein turnover, chaperones
259	NVE461	Posttranslational modification, protein turnover, chaperones
260	NVE470	Signal transduction mechanisms
261	NVE474	Replication, recombination and repair
262	NVE475	Signal transduction mechanisms
263	NVE476	Transcription
264	NVE479	Signal transduction mechanisms
265	NVE480	RNA processing and modification
266	NVE481	Transcription
267	NVE481	Intracellular trafficking, secretion, and vesicular transport
268	NVE482	Translation, ribosomal structure and biogenesis
269	NVE488	Cell wall/membrane/envelope biogenesis
270	NVE490	Translation, ribosomal structure and biogenesis
271	NVE493	Cytoskeleton
272	NVE494	Posttranslational modification, protein turnover, chaperones
273	NVE496	Signal transduction mechanisms
274	NVE500	Intracellular trafficking, secretion, and vesicular transport
275	NVE502	Posttranslational modification, protein turnover, chaperones
276	NVE504	Amino acid transport and metabolism
277	NVE505	Posttranslational modification, protein turnover, chaperones
278	NVE509	RNA processing and modification
279	NVE512	Replication, recombination and repair
280	NVE514	Replication, recombination and repair
281	NVE516	Posttranslational modification, protein turnover, chaperones
282	NVE517	Cell wall/membrane/envelope biogenesis
283	NVE520	Signal transduction mechanisms
284	NVE522	Replication, recombination and repair
285	NVE524	Transcription
286	NVE525	
287	NVE526	
288	NVE530	Signal transduction mechanisms
289	NVE533	Intracellular trafficking, secretion, and vesicular transport
290	NVE540	Cell wall/membrane/envelope biogenesis
291	NVE541	Cell wall/membrane/envelope biogenesis
292	NVE542	Translation, ribosomal structure and biogenesis
293	NVE543	Signal transduction mechanisms
294	NVE544	Translation, ribosomal structure and biogenesis
295	NVE545	Signal transduction mechanisms
296	NVE546	Signal transduction mechanisms
297	NVE551	Amino acid transport and metabolism
298	NVE553	Carbohydrate transport and metabolism
299	NVE555	Energy production and conversion
300	NVE556	Inorganic ion transport and metabolism
301	NVE557	Intracellular trafficking, secretion, and vesicular transport
302	NVE558	Posttranslational modification, protein turnover, chaperones
303	NVE560	Signal transduction mechanisms
304	NVE562	Signal transduction mechanisms
305	NVE563	Cytoskeleton
306	NVE564	Nucleotide transport and metabolism
307	NVE566	Cytoskeleton
308	NVE567	Defense mechanisms
309	NVE568	Defense mechanisms
310	NVE572	Energy production and conversion
311	NVE574	Inorganic ion transport and metabolism
312	NVE575	Posttranslational modification, protein turnover, chaperones
313	NVE576	Posttranslational modification, protein turnover, chaperones
314	NVE577	Coenzyme transport and metabolism
315	NVE578	Inorganic ion transport and metabolism
316	NVE579	Posttranslational modification, protein turnover, chaperones
317	NVE580	Posttranslational modification, protein turnover, chaperones
318	NVE583	
319	NVE587	Amino acid transport and metabolism
320	NVE592	Signal transduction mechanisms
321	NVE596	Lipid transport and metabolism
322	NVE597	Translation, ribosomal structure and biogenesis
323	NVE602	Posttranslational modification, protein turnover, chaperones
324	NVE604	Posttranslational modification, protein turnover, chaperones
325	NVE610	Carbohydrate transport and metabolism
326	NVE612	Energy production and conversion
327	NVE613	Transcription
328	NVE614	
329	NVE615	
330	NVE616	Replication, recombination and repair
331	NVE619	Signal transduction mechanisms
332	NVE620	Signal transduction mechanisms
333	NVE621	Signal transduction mechanisms
334	NVE622	Transcription
335	NVE625	Posttranslational modification, protein turnover, chaperones
336	NVE628	
337	NVE631	Secondary metabolites biosynthesis, transport and catabolism
338	NVE632	Replication, recombination and repair
339	NVE634	Signal transduction mechanisms
340	NVE635	Replication, recombination and repair
341	NVE637	Energy production and conversion
342	NVE639	Carbohydrate transport and metabolism
343	NVE640	Lipid transport and metabolism
344	NVE643	Secondary metabolites biosynthesis, transport and catabolism
345	NVE649	
346	NVE650	Posttranslational modification, protein turnover, chaperones
347	NVE651	
348	NVE652	Secondary metabolites biosynthesis, transport and catabolism
349	NVE654	Lipid transport and metabolism
350	NVE655	Energy production and conversion
351	NVE656	Posttranslational modification, protein turnover, chaperones
352	NVE657	Intracellular trafficking, secretion, and vesicular transport
353	NVE658	RNA processing and modification
354	NVE660	Energy production and conversion
355	NVE665	Cytoskeleton
356	NVE668	Signal transduction mechanisms
357	NVE675	Intracellular trafficking, secretion, and vesicular transport
358	NVE676	
359	NVE680	Nucleotide transport and metabolism
360	NVE682	Translation, ribosomal structure and biogenesis
361	NVE683	RNA processing and modification
362	NVE685	Signal transduction mechanisms
363	NVE686	Intracellular trafficking, secretion, and vesicular transport
364	NVE687	RNA processing and modification
365	NVE689	Intracellular trafficking, secretion, and vesicular transport
366	NVE691	Lipid transport and metabolism
367	NVE693	Signal transduction mechanisms
368	NVE695	Transcription
369	NVE697	Transcription
370	NVE697	Replication, recombination and repair
371	NVE699	Lipid transport and metabolism
372	NVE702	Cytoskeleton
373	NVE703	Signal transduction mechanisms
374	NVE706	RNA processing and modification
375	NVE707	Cell wall/membrane/envelope biogenesis
376	NVE708	Transcription
377	NVE709	Extracellular structures
378	NVE710	Extracellular structures
379	NVE711	Translation, ribosomal structure and biogenesis
380	NVE713	Intracellular trafficking, secretion, and vesicular transport
381	NVE713	Nuclear structure
382	NVE714	Transcription
383	NVE715	Transcription
384	NVE716	Transcription
385	NVE717	Intracellular trafficking, secretion, and vesicular transport
386	NVE719	Posttranslational modification, protein turnover, chaperones
387	NVE721	Cytoskeleton
388	NVE722	Signal transduction mechanisms
389	NVE723	Signal transduction mechanisms
390	NVE728	Intracellular trafficking, secretion, and vesicular transport
391	NVE729	Intracellular trafficking, secretion, and vesicular transport
392	NVE733	Intracellular trafficking, secretion, and vesicular transport
393	NVE734	RNA processing and modification
394	NVE736	Energy production and conversion
395	NVE738	
396	NVE740	
397	NVE741	Cytoskeleton
398	NVE742	Replication, recombination and repair
399	NVE743	Energy production and conversion
400	NVE744	Replication, recombination and repair
401	NVE748	Extracellular structures
402	NVE752	Translation, ribosomal structure and biogenesis
403	NVE754	Intracellular trafficking, secretion, and vesicular transport
404	NVE755	Transcription
405	NVE756	
406	NVE760	Lipid transport and metabolism
407	NVE761	Signal transduction mechanisms
408	NVE763	RNA processing and modification
409	NVE771	
410	NVE783	Cell wall/membrane/envelope biogenesis
411	NVE784	Cell wall/membrane/envelope biogenesis
412	NVE786	Posttranslational modification, protein turnover, chaperones
413	NVE787	Posttranslational modification, protein turnover, chaperones
414	NVE789	Translation, ribosomal structure and biogenesis
415	NVE791	RNA processing and modification
416	NVE797	Intracellular trafficking, secretion, and vesicular transport
417	NVE798	Transcription
418	NVE799	Translation, ribosomal structure and biogenesis
419	NVE801	Translation, ribosomal structure and biogenesis
420	NVE805	RNA processing and modification
421	NVE806	Coenzyme transport and metabolism
422	NVE807	Intracellular trafficking, secretion, and vesicular transport
423	NVE809	
424	NVE811	RNA processing and modification
425	NVE812	Posttranslational modification, protein turnover, chaperones
426	NVE813	Posttranslational modification, protein turnover, chaperones
427	NVE818	Defense mechanisms
428	NVE819	Translation, ribosomal structure and biogenesis
429	NVE820	Translation, ribosomal structure and biogenesis
430	NVE821	Translation, ribosomal structure and biogenesis
431	NVE826	Carbohydrate transport and metabolism
432	NVE830	Signal transduction mechanisms
433	NVE834	
434	NVE837	Translation, ribosomal structure and biogenesis
435	NVE847	Cell cycle control, cell division, chromosome partitioning
436	NVE847	Cytoskeleton
437	NVE851	Lipid transport and metabolism
438	NVE852	
439	NVE853	
440	NVE854	Signal transduction mechanisms
441	NVE855	Cell cycle control, cell division, chromosome partitioning
442	NVE859	Secondary metabolites biosynthesis, transport and catabolism
443	NVE861	Replication, recombination and repair
444	NVE863	Signal transduction mechanisms
445	NVE864	Carbohydrate transport and metabolism
446	NVE864	Cell wall/membrane/envelope biogenesis
447	NVE864	Extracellular structures
448	NVE865	Carbohydrate transport and metabolism
449	NVE866	Carbohydrate transport and metabolism
450	NVE873	Signal transduction mechanisms
451	NVE876	Signal transduction mechanisms
452	NVE877	Energy production and conversion
453	NVE878	Energy production and conversion
454	NVE879	Inorganic ion transport and metabolism
455	NVE882	Translation, ribosomal structure and biogenesis
456	NVE885	RNA processing and modification
457	NVE886	
458	NVE887	Transcription
459	NVE888	Intracellular trafficking, secretion, and vesicular transport
460	NVE889	Inorganic ion transport and metabolism
461	NVE890	Carbohydrate transport and metabolism
462	NVE890	Lipid transport and metabolism
463	NVE891	Carbohydrate transport and metabolism
464	NVE891	Lipid transport and metabolism
465	NVE894	Amino acid transport and metabolism
466	NVE904	Transcription
467	NVE904	Signal transduction mechanisms
468	NVE906	Translation, ribosomal structure and biogenesis
469	NVE908	Lipid transport and metabolism
470	NVE911	Inorganic ion transport and metabolism
471	NVE911	Signal transduction mechanisms
472	NVE912	Signal transduction mechanisms
473	NVE913	Nuclear structure
474	NVE915	Replication, recombination and repair
475	NVE919	Transcription
476	NVE919	Replication, recombination and repair
477	NVE919	Signal transduction mechanisms
478	NVE921	Transcription
479	NVE921	Replication, recombination and repair
480	NVE921	Signal transduction mechanisms
481	NVE923	Cell cycle control, cell division, chromosome partitioning
482	NVE923	Posttranslational modification, protein turnover, chaperones
483	NVE925	Signal transduction mechanisms
484	NVE927	Intracellular trafficking, secretion, and vesicular transport
485	NVE928	Transcription
486	NVE928	Posttranslational modification, protein turnover, chaperones
487	NVE928	Signal transduction mechanisms
488	NVE929	RNA processing and modification
489	NVE931	
490	NVE932	
491	NVE933	
492	NVE937	Transcription
493	NVE938	
494	NVE940	Intracellular trafficking, secretion, and vesicular transport
495	NVE941	RNA processing and modification
496	NVE942	RNA processing and modification
497	NVE943	Carbohydrate transport and metabolism
498	NVE948	
499	NVE953	Signal transduction mechanisms
500	NVE954	Signal transduction mechanisms
501	NVE955	Inorganic ion transport and metabolism
502	NVE956	Signal transduction mechanisms
503	NVE957	Signal transduction mechanisms
504	NVE958	Intracellular trafficking, secretion, and vesicular transport
505	NVE959	Transcription
506	NVE961	Transcription
507	NVE963	Signal transduction mechanisms
508	NVE964	Secondary metabolites biosynthesis, transport and catabolism
509	NVE965	Signal transduction mechanisms
510	NVE968	Carbohydrate transport and metabolism
511	NVE973	Signal transduction mechanisms
512	NVE974	Lipid transport and metabolism
513	NVE975	
514	NVE976	Intracellular trafficking, secretion, and vesicular transport
515	NVE984	RNA processing and modification
516	NVE986	Intracellular trafficking, secretion, and vesicular transport
517	NVE987	
518	NVE989	Signal transduction mechanisms
519	NVE994	Signal transduction mechanisms
520	NVE998	Cytoskeleton
521	NVE999	Signal transduction mechanisms
522	NVE1000	Lipid transport and metabolism
523	NVE1001	Carbohydrate transport and metabolism
524	NVE1003	Transcription
525	NVE1006	Amino acid transport and metabolism
526	NVE1007	Cell cycle control, cell division, chromosome partitioning
527	NVE1009	Translation, ribosomal structure and biogenesis
528	NVE1011	
529	NVE1016	Posttranslational modification, protein turnover, chaperones
530	NVE1018	Cytoskeleton
531	NVE1026	
532	NVE1028	Transcription
533	NVE1029	Transcription
534	NVE1030	Posttranslational modification, protein turnover, chaperones
535	NVE1031	Posttranslational modification, protein turnover, chaperones
536	NVE1033	Translation, ribosomal structure and biogenesis
537	NVE1034	Cytoskeleton
538	NVE1044	Cell cycle control, cell division, chromosome partitioning
539	NVE1050	Cytoskeleton
540	NVE1051	Posttranslational modification, protein turnover, chaperones
541	NVE1053	Transcription
542	NVE1054	Transcription
543	NVE1056	Transcription
544	NVE1057	RNA processing and modification
545	NVE1058	Replication, recombination and repair
546	NVE1065	
547	NVE1066	Posttranslational modification, protein turnover, chaperones
548	NVE1067	Posttranslational modification, protein turnover, chaperones
549	NVE1068	Posttranslational modification, protein turnover, chaperones
550	NVE1069	Posttranslational modification, protein turnover, chaperones
551	NVE1070	Transcription
552	NVE1072	Lipid transport and metabolism
553	NVE1074	Energy production and conversion
554	NVE1079	Amino acid transport and metabolism
555	NVE1080	Chromatin structure and dynamics
556	NVE1082	Cell motility
557	NVE1083	Posttranslational modification, protein turnover, chaperones
558	NVE1085	Intracellular trafficking, secretion, and vesicular transport
559	NVE1088	Intracellular trafficking, secretion, and vesicular transport
560	NVE1090	Replication, recombination and repair
561	NVE1092	Replication, recombination and repair
562	NVE1093	Transcription
563	NVE1094	Signal transduction mechanisms
564	NVE1095	Posttranslational modification, protein turnover, chaperones
565	NVE1096	Cytoskeleton
566	NVE1097	Intracellular trafficking, secretion, and vesicular transport
567	NVE1098	Intracellular trafficking, secretion, and vesicular transport
568	NVE1103	Carbohydrate transport and metabolism
569	NVE1104	Carbohydrate transport and metabolism
570	NVE1109	Cell wall/membrane/envelope biogenesis
571	NVE1110	Signal transduction mechanisms
572	NVE1111	Lipid transport and metabolism
573	NVE1112	Posttranslational modification, protein turnover, chaperones
574	NVE1115	
575	NVE1116	Lipid transport and metabolism
576	NVE1117	Signal transduction mechanisms
577	NVE1127	Carbohydrate transport and metabolism
578	NVE1135	Translation, ribosomal structure and biogenesis
579	NVE1138	Replication, recombination and repair
580	NVE1138	Signal transduction mechanisms
581	NVE1139	Signal transduction mechanisms
582	NVE1140	Intracellular trafficking, secretion, and vesicular transport
583	NVE1141	Lipid transport and metabolism
584	NVE1142	
585	NVE1144	Amino acid transport and metabolism
586	NVE1146	Inorganic ion transport and metabolism
587	NVE1146	Signal transduction mechanisms
588	NVE1147	Inorganic ion transport and metabolism
589	NVE1147	Signal transduction mechanisms
590	NVE1148	Posttranslational modification, protein turnover, chaperones
591	NVE1149	Intracellular trafficking, secretion, and vesicular transport
592	NVE1151	Intracellular trafficking, secretion, and vesicular transport
593	NVE1153	Posttranslational modification, protein turnover, chaperones
594	NVE1155	Posttranslational modification, protein turnover, chaperones
595	NVE1156	Carbohydrate transport and metabolism
596	NVE1157	Amino acid transport and metabolism
597	NVE1157	Inorganic ion transport and metabolism
598	NVE1157	Signal transduction mechanisms
599	NVE1158	Translation, ribosomal structure and biogenesis
600	NVE1159	Signal transduction mechanisms
601	NVE1160	Posttranslational modification, protein turnover, chaperones
602	NVE1161	Cell cycle control, cell division, chromosome partitioning
603	NVE1163	Signal transduction mechanisms
604	NVE1165	Lipid transport and metabolism
605	NVE1166	Lipid transport and metabolism
606	NVE1167	Signal transduction mechanisms
607	NVE1168	Cell wall/membrane/envelope biogenesis
608	NVE1168	Posttranslational modification, protein turnover, chaperones
609	NVE1168	Signal transduction mechanisms
610	NVE1171	Posttranslational modification, protein turnover, chaperones
611	NVE1172	Cytoskeleton
612	NVE1173	Cytoskeleton
613	NVE1174	Cytoskeleton
614	NVE1175	Intracellular trafficking, secretion, and vesicular transport
615	NVE1176	Transcription
616	NVE1178	RNA processing and modification
617	NVE1179	Carbohydrate transport and metabolism
618	NVE1182	Transcription
619	NVE1183	Transcription
620	NVE1192	Signal transduction mechanisms
621	NVE1197	Transcription
622	NVE1198	Transcription
623	NVE1202	Cytoskeleton
624	NVE1203	Cytoskeleton
625	NVE1204	Cytoskeleton
626	NVE1212	RNA processing and modification
627	NVE1213	Posttranslational modification, protein turnover, chaperones
628	NVE1215	Posttranslational modification, protein turnover, chaperones
629	NVE1216	Posttranslational modification, protein turnover, chaperones
630	NVE1217	Signal transduction mechanisms
631	NVE1217	Intracellular trafficking, secretion, and vesicular transport
632	NVE1220	Signal transduction mechanisms
633	NVE1220	Cytoskeleton
634	NVE1221	Amino acid transport and metabolism
635	NVE1222	Secondary metabolites biosynthesis, transport and catabolism
636	NVE1223	Posttranslational modification, protein turnover, chaperones
637	NVE1224	Posttranslational modification, protein turnover, chaperones
638	NVE1225	Signal transduction mechanisms
639	NVE1226	Nucleotide transport and metabolism
640	NVE1227	Nucleotide transport and metabolism
641	NVE1228	Transcription
642	NVE1229	Signal transduction mechanisms
643	NVE1230	Carbohydrate transport and metabolism
644	NVE1231	Transcription
645	NVE1231	Replication, recombination and repair
646	NVE1231	Signal transduction mechanisms
647	NVE1232	Intracellular trafficking, secretion, and vesicular transport
648	NVE1234	Signal transduction mechanisms
649	NVE1235	Posttranslational modification, protein turnover, chaperones
650	NVE1237	Transcription
651	NVE1238	Energy production and conversion
652	NVE1239	Carbohydrate transport and metabolism
653	NVE1240	Posttranslational modification, protein turnover, chaperones
654	NVE1242	Carbohydrate transport and metabolism
655	NVE1245	RNA processing and modification
656	NVE1246	Posttranslational modification, protein turnover, chaperones
657	NVE1247	Cytoskeleton
658	NVE1248	Signal transduction mechanisms
659	NVE1251	Cell cycle control, cell division, chromosome partitioning
660	NVE1251	Transcription
661	NVE1251	Signal transduction mechanisms
662	NVE1252	Posttranslational modification, protein turnover, chaperones
663	NVE1254	Inorganic ion transport and metabolism
664	NVE1255	
665	NVE1260	Amino acid transport and metabolism
666	NVE1262	Signal transduction mechanisms
667	NVE1263	Inorganic ion transport and metabolism
668	NVE1264	Cell wall/membrane/envelope biogenesis
669	NVE1266	Transcription
670	NVE1269	Posttranslational modification, protein turnover, chaperones
671	NVE1270	Signal transduction mechanisms
672	NVE1273	Signal transduction mechanisms
673	NVE1274	Amino acid transport and metabolism
674	NVE1274	Posttranslational modification, protein turnover, chaperones
675	NVE1277	Replication, recombination and repair
676	NVE1278	Signal transduction mechanisms
677	NVE1281	
678	NVE1282	Signal transduction mechanisms
679	NVE1283	Inorganic ion transport and metabolism
680	NVE1283	Signal transduction mechanisms
681	NVE1284	Inorganic ion transport and metabolism
682	NVE1284	Signal transduction mechanisms
683	NVE1285	Signal transduction mechanisms
684	NVE1288	Signal transduction mechanisms
685	NVE1289	RNA processing and modification
686	NVE1291	Coenzyme transport and metabolism
687	NVE1292	Signal transduction mechanisms
