gene_ID	NFKB_sites	Log2FC_SYM_0_3h	padj_SYM_0_3h	Log2FC_APO_0_3h	padj_APO_0_3h
isogroup27179	0	2.61	0.00	2.85	0.00
isogroup12036	6	2.61	0.00	2.60	0.00
isogroup168	0	2.61	0.00	3.12	0.00
isogroup14737	1	2.59	0.00	0.13	0.79
isogroup18593	0	2.59	0.00	2.70	0.00
isogroup6038	0	2.59	0.04	1.36	0.11
isogroup21660	2	2.59	0.00	2.99	0.00
isogroup8449	0	2.58	0.00	3.34	0.00
isogroup17395	0	2.58	0.00	1.74	0.00
isogroup2276	0	2.58	0.03	0.73	0.61
isogroup13773	0	2.58	0.00	1.59	0.00
isogroup9100	0	2.57	0.00	3.19	0.00
isogroup25750	0	2.57	0.00	3.42	0.00
isogroup15429	0	2.56	0.00	0.89	0.00
isogroup10155	4	2.56	0.00	1.87	0.00
isogroup13341	0	2.55	0.00	3.54	0.00
isogroup26260	0	2.55	0.00	0.99	0.00
isogroup11806	0	2.55	0.00	0.06	0.74
isogroup27897	1	2.55	0.00	1.86	0.00
isogroup22430	0	2.53	0.00	1.63	0.00
isogroup2819	0	2.53	0.00	3.71	0.00
isogroup13343	0	2.53	0.00	3.52	0.00
isogroup22969	0	2.53	0.00	2.80	0.00
isogroup198	0	2.52	0.00	2.52	0.00
isogroup9625	0	2.51	0.00	0.90	0.01
isogroup8602	0	2.51	0.00	1.59	0.00
isogroup8978	3	2.50	0.00	3.31	0.00
isogroup5453	0	2.50	0.00	2.73	0.00
isogroup16623	0	2.50	0.00	2.65	0.00
isogroup11326	0	2.50	0.00	3.23	0.00
isogroup18937	6	2.50	0.00	3.09	0.00
isogroup24777	0	2.48	0.00	1.49	0.00
isogroup22793	0	2.48	0.00	2.97	0.00
isogroup16938	0	2.47	0.00	2.55	0.00
isogroup13018	0	2.46	0.00	2.87	0.00
isogroup15465	4	2.46	0.00	2.22	0.00
isogroup9550	0	2.46	0.00	2.18	0.00
isogroup8848	3	2.46	0.00	4.20	0.00
isogroup13759	1	2.46	0.00	0.39	0.02
isogroup26757	0	2.45	0.00	1.66	0.00
isogroup7288	0	2.45	0.00	2.15	0.00
isogroup8988	2	2.44	0.00	2.71	0.00
isogroup6346	0	2.44	0.00	0.15	0.63
isogroup16633	2	2.43	0.00	3.36	0.00
isogroup11505	0	2.43	0.00	3.75	0.00
isogroup22658	0	2.43	0.00	2.43	0.00
isogroup15792	0	2.43	0.00	3.17	0.00
isogroup23121	0	2.42	0.00	2.29	0.00
isogroup25179	0	2.42	0.00	1.83	0.00
isogroup12575	0	2.41	0.00	0.08	0.75
isogroup341	0	2.41	0.00	1.29	0.00
isogroup15593	0	2.39	0.04	-2.56	NA
isogroup3686	0	2.39	0.00	2.27	0.00
isogroup28544	0	2.39	0.00	1.26	0.00
isogroup10171	4	2.39	0.00	2.77	0.00
isogroup22500	0	2.38	0.00	3.14	0.00
isogroup12569	0	2.38	0.00	2.01	0.01
isogroup26215	0	2.38	0.00	2.62	0.00
isogroup21471	0	2.37	0.00	3.50	0.00
isogroup15980	0	2.37	0.00	1.44	0.00
isogroup21021	5	2.37	0.00	3.07	0.00
isogroup15501	0	2.37	0.00	1.21	0.00
isogroup8559	0	2.36	0.00	1.58	0.00
isogroup9636	0	2.36	0.00	0.89	0.00
isogroup17333	0	2.35	0.00	2.87	0.00
isogroup16638	0	2.34	0.00	1.90	0.00
isogroup28826	0	2.34	0.00	3.10	0.00
isogroup2034	0	2.34	0.00	2.61	0.00
isogroup23198	0	2.33	0.00	3.26	0.00
isogroup26800	0	2.33	0.04	1.54	NA
isogroup14852	0	2.32	0.03	1.84	0.04
isogroup4870	2	2.32	0.00	3.23	0.00
isogroup7276	2	2.32	0.00	2.45	0.00
isogroup6283	0	2.32	0.00	2.68	0.00
isogroup6074	0	2.32	0.04	0.89	0.24
isogroup4538	0	2.32	0.00	3.15	0.00
isogroup7265	0	2.31	0.00	2.20	0.00
isogroup28009	3	2.31	0.00	2.18	0.00
isogroup9553	0	2.31	0.00	1.67	0.00
isogroup2584	0	2.30	0.00	0.84	0.48
isogroup11102	0	2.30	0.00	0.84	0.36
isogroup17711	0	2.30	0.00	3.05	0.00
isogroup18957	0	2.30	0.00	1.01	0.08
isogroup4732	0	2.29	0.02	-0.93	NA
isogroup12497	0	2.29	0.00	1.68	0.00
isogroup11791	0	2.29	0.00	1.94	0.00
isogroup7380	1	2.29	0.00	1.42	0.00
isogroup21481	4	2.28	0.02	2.14	0.01
isogroup17045	0	2.27	0.00	1.95	0.00
isogroup28628	1	2.26	0.00	2.16	0.00
isogroup20405	0	2.25	0.00	0.56	0.66
isogroup15458	0	2.25	0.00	1.36	0.00
isogroup11443	0	2.25	0.00	1.60	0.00
isogroup1568	2	2.25	0.00	4.48	0.00
isogroup21315	0	2.24	0.00	1.93	0.00
isogroup11866	0	2.23	0.00	2.09	0.00
isogroup10002	3	2.22	0.00	3.08	0.00
isogroup15732	0	2.22	0.00	2.15	0.00
isogroup16866	0	2.22	0.00	3.43	0.00
isogroup26780	0	2.21	0.00	1.64	0.00
isogroup3308	0	2.21	0.03	1.39	NA
isogroup14887	0	2.20	0.00	2.37	0.00
isogroup12044	0	2.20	0.00	2.37	0.00
isogroup27269	0	2.20	0.00	1.77	0.00
isogroup26085	0	2.20	0.00	2.43	0.00
isogroup16216	0	2.19	0.00	2.90	0.00
isogroup9760	0	2.19	0.00	1.20	0.17
isogroup8991	1	2.19	0.01	1.43	0.03
isogroup7798	0	2.19	0.00	1.89	0.00
isogroup4081	0	2.19	0.00	-0.53	0.01
isogroup7015	0	2.19	0.00	1.77	0.00
isogroup17984	0	2.19	0.00	0.18	0.81
isogroup2511	0	2.17	0.00	2.72	0.00
isogroup24448	0	2.17	0.00	2.13	0.00
isogroup23766	0	2.17	0.00	0.48	0.03
isogroup9504	0	2.16	0.00	3.23	0.00
isogroup23748	0	2.16	0.00	0.31	0.37
isogroup27996	0	2.16	0.00	0.26	0.72
isogroup7528	0	2.15	0.00	0.96	0.00
isogroup7536	0	2.15	0.00	0.98	0.00
isogroup2253	0	2.14	0.00	3.57	0.00
isogroup19997	0	2.14	0.00	1.44	0.00
isogroup10182	0	2.14	0.00	2.60	0.00
isogroup12505	3	2.13	0.00	2.85	0.00
isogroup23689	0	2.13	0.00	2.44	0.00
isogroup28085	1	2.13	0.00	1.53	0.00
isogroup20765	0	2.13	0.00	1.67	0.00
isogroup262	3	2.13	0.00	3.10	0.00
isogroup24235	0	2.12	0.00	2.19	0.00
isogroup15878	0	2.11	0.00	1.97	0.00
isogroup23613	0	2.10	0.00	2.71	0.00
isogroup19586	0	2.10	0.00	2.11	0.00
isogroup12859	0	2.10	0.00	4.14	0.00
isogroup23254	0	2.10	0.00	1.71	0.00
isogroup506	0	2.09	0.00	2.09	0.00
isogroup21312	0	2.09	0.00	2.58	0.00
isogroup18869	0	2.09	0.00	2.22	0.00
isogroup10078	0	2.08	0.01	2.33	0.00
isogroup13346	0	2.08	0.00	1.69	0.00
isogroup1105	0	2.08	0.00	2.77	0.00
isogroup16934	0	2.08	0.00	2.02	0.00
isogroup3452	0	2.07	0.01	-0.27	0.73
isogroup26777	2	2.07	0.00	2.91	0.00
isogroup16643	0	2.07	0.00	2.64	0.00
isogroup26586	0	2.06	0.00	2.40	0.00
isogroup27896	1	2.06	0.00	2.12	0.00
isogroup23160	0	2.05	0.00	2.42	0.00
isogroup10966	0	2.05	0.00	2.19	0.00
isogroup1588	2	2.05	0.00	2.83	0.00
isogroup25296	0	2.05	0.00	2.28	0.00
isogroup14435	0	2.05	0.00	2.78	0.00
isogroup12467	0	2.04	0.00	0.86	0.29
isogroup29181	0	2.04	0.00	0.79	0.00
isogroup22637	0	2.04	0.00	0.88	0.00
isogroup29051	0	2.04	0.00	2.88	0.00
isogroup12561	0	2.04	0.00	1.59	0.00
isogroup2822	0	2.04	0.00	2.18	0.00
isogroup26060	0	2.03	0.00	1.60	0.00
isogroup9334	0	2.03	0.00	1.18	0.00
isogroup15499	0	2.03	0.00	-0.25	0.45
isogroup9907	0	2.03	0.00	1.88	0.00
isogroup20538	0	2.03	0.00	2.03	0.00
isogroup25904	0	2.03	0.00	1.11	0.00
isogroup20859	0	2.03	0.01	2.15	0.00
isogroup4327	0	2.03	0.03	3.14	0.00
isogroup26697	1	2.02	0.00	2.04	0.00
isogroup18872	6	2.02	0.00	2.50	0.00
isogroup21027	0	2.02	0.00	2.39	0.00
isogroup8096	0	2.02	0.00	1.30	0.00
isogroup2942	0	2.01	0.00	1.46	0.00
isogroup15373	0	2.01	0.00	2.36	0.00
isogroup13034	1	2.01	0.00	0.67	0.00
isogroup27536	0	2.01	0.00	0.73	0.15
isogroup5359	2	2.01	0.00	2.67	0.00
isogroup20411	0	2.00	0.00	0.02	0.97
isogroup22519	0	2.00	0.01	0.15	0.76
isogroup21738	0	10.00	0.00	8.10	0.00
isogroup18790	0	9.79	0.00	8.14	0.00
isogroup8387	0	8.82	0.00	8.07	0.00
isogroup5579	1	7.47	0.00	7.56	0.00
isogroup26645	0	6.67	0.00	5.51	0.00
isogroup16373	0	6.56	0.00	4.65	0.00
isogroup5480	0	6.43	0.00	6.07	0.00
isogroup26044	0	6.39	0.00	4.13	0.00
isogroup14394	0	5.94	0.00	5.70	0.00
isogroup6938	0	5.88	0.00	4.91	0.00
isogroup5592	0	5.71	0.00	6.50	0.00
isogroup26101	0	5.64	0.00	6.18	0.00
isogroup24619	0	5.31	0.00	2.69	0.00
isogroup3199	0	5.00	0.00	5.52	0.00
isogroup25242	1	4.94	0.00	4.53	0.00
isogroup25351	0	4.87	0.00	3.44	0.01
isogroup25348	0	4.75	0.00	1.01	0.31
isogroup26028	0	4.71	0.00	2.37	0.00
isogroup7055	0	4.58	0.00	2.32	NA
isogroup14369	0	4.27	0.00	5.19	0.00
isogroup17908	0	4.25	0.00	3.01	0.00
isogroup19944	0	4.25	0.00	2.96	0.00
isogroup22870	0	4.19	0.00	4.55	0.00
isogroup23312	1	4.16	0.00	2.33	0.00
isogroup397	0	4.15	0.00	2.26	0.00
isogroup2207	0	4.04	0.00	2.36	0.00
isogroup14175	0	4.03	0.00	4.47	0.00
isogroup17345	1	4.03	0.00	3.90	0.00
isogroup18493	0	3.98	0.00	3.78	0.00
isogroup3439	0	3.96	0.00	1.31	0.00
isogroup26161	3	3.89	0.00	4.64	0.00
isogroup9832	0	3.80	0.00	2.80	0.00
isogroup4805	0	3.79	0.00	4.04	0.00
isogroup22622	0	3.79	0.00	3.12	0.00
isogroup27608	0	3.78	0.00	4.41	0.00
isogroup26103	0	3.76	0.00	4.13	0.00
isogroup10104	0	3.71	0.01	2.60	0.02
isogroup16299	0	3.64	0.00	2.30	0.00
isogroup29187	0	3.62	0.00	2.45	0.00
isogroup5814	0	3.61	0.00	3.46	0.00
isogroup14174	0	3.61	0.00	3.71	0.00
isogroup27609	2	3.60	0.00	4.32	0.00
isogroup20354	0	3.60	0.00	1.53	0.00
isogroup4360	0	3.59	0.01	1.46	0.05
isogroup25577	0	3.59	0.00	3.95	0.00
isogroup22808	0	3.57	0.00	2.62	0.00
isogroup9938	1	3.56	0.00	4.34	0.00
isogroup4445	0	3.56	0.00	3.89	0.00
isogroup13866	0	3.55	0.00	2.23	0.00
isogroup27985	0	3.53	0.00	3.66	0.00
isogroup12496	0	3.49	0.00	3.50	0.00
isogroup3381	0	3.42	0.00	1.03	0.30
isogroup651	1	3.36	0.00	3.31	0.00
isogroup6906	0	3.36	0.00	3.08	0.00
isogroup15860	0	3.34	0.00	2.99	0.00
isogroup12057	0	3.31	0.00	3.34	0.00
isogroup21815	0	3.30	0.03	0.18	0.87
isogroup27663	3	3.30	0.00	4.38	0.00
isogroup7404	0	3.28	0.01	0.97	0.29
isogroup6409	0	3.25	0.00	2.74	0.00
isogroup17272	0	3.24	0.00	3.67	0.00
isogroup3657	2	3.23	0.00	1.54	0.00
isogroup9482	0	3.19	0.00	3.07	0.00
isogroup13294	0	3.19	0.04	1.19	0.45
isogroup3461	0	3.14	0.00	2.33	0.00
isogroup22895	0	3.12	0.00	3.45	0.00
isogroup6440	0	3.12	0.00	1.31	0.00
isogroup21824	0	3.11	0.03	1.57	0.02
isogroup9444	0	3.10	0.01	0.94	0.31
isogroup8789	0	3.10	0.00	2.69	0.00
isogroup12127	0	3.09	0.00	3.69	0.00
isogroup15817	0	3.08	0.00	3.36	0.00
isogroup8475	0	3.08	0.00	3.39	0.00
isogroup28611	0	3.07	0.00	2.61	0.00
isogroup14330	0	3.03	0.00	2.27	0.00
isogroup29033	0	3.02	0.00	3.14	0.00
isogroup25828	1	2.96	0.00	2.92	0.00
isogroup2837	0	2.96	0.00	2.60	0.00
isogroup20214	0	2.95	0.00	1.14	0.00
isogroup6957	0	2.95	0.00	2.07	0.00
isogroup7383	0	2.93	0.00	1.57	0.00
isogroup10406	0	2.92	0.00	0.04	NA
isogroup9002	4	2.92	0.00	2.43	0.00
isogroup9739	0	2.90	0.00	2.28	0.00
isogroup2999	0	2.89	0.00	2.88	0.00
isogroup29006	0	2.88	0.00	2.99	0.00
isogroup16316	0	2.84	0.00	1.96	0.00
isogroup13355	0	2.84	0.00	2.20	0.00
isogroup12001	0	2.82	0.00	1.88	0.00
isogroup24263	1	2.80	0.00	3.03	0.00
isogroup1895	0	2.78	0.00	2.21	0.00
isogroup7361	0	2.74	0.02	2.56	0.02
isogroup20650	0	2.73	0.02	1.00	0.22
isogroup12144	0	2.71	0.00	3.36	0.00
isogroup9256	1	2.70	0.00	1.87	0.00
isogroup18515	0	2.69	0.00	2.53	0.00
isogroup7427	0	2.68	0.00	2.53	0.00
isogroup1830	0	2.68	0.00	2.31	0.00
isogroup8629	0	2.68	0.00	2.63	0.00
isogroup9190	0	2.68	0.00	2.57	0.00
isogroup2267	0	2.64	0.00	2.60	0.00
isogroup12669	0	2.64	0.00	1.51	0.00
isogroup6884	0	2.64	0.00	2.86	0.00
isogroup20679	0	2.63	0.02	1.97	0.01
isogroup8357	0	2.63	0.03	2.18	0.00
isogroup7646	0	2.63	0.00	0.94	0.05
isogroup12356	0	2.62	0.00	1.31	0.00
isogroup9487	0	2.61	0.00	0.31	0.60
isogroup28277	1	2.60	0.00	0.85	0.03
isogroup10221	0	2.60	0.00	0.27	0.82
isogroup21467	0	2.59	0.00	2.29	0.00
isogroup17898	0	2.59	0.01	-0.22	0.81
isogroup14206	0	2.59	0.00	-0.23	0.69
isogroup10103	0	2.56	0.00	1.53	0.01
isogroup20266	0	2.55	0.00	2.49	0.00
isogroup4997	0	2.54	0.00	2.32	0.00
isogroup7429	0	2.53	0.00	2.58	0.00
isogroup128	0	2.53	0.00	1.99	0.00
isogroup14672	0	2.52	0.00	2.56	0.00
isogroup16996	0	2.52	0.03	1.29	0.12
isogroup27566	0	2.52	0.00	2.15	0.00
isogroup15195	0	2.52	0.00	1.60	0.00
isogroup5559	1	2.51	0.00	1.38	0.01
isogroup28381	0	2.51	0.00	1.95	0.00
isogroup3013	0	2.50	0.00	1.84	0.00
isogroup8469	0	2.50	0.00	3.14	0.00
isogroup4898	0	2.49	0.00	3.35	0.00
isogroup27895	0	2.48	0.00	2.28	0.00
isogroup19239	1	2.47	0.00	2.09	0.00
isogroup13318	0	2.47	0.00	1.51	0.00
isogroup14096	0	2.47	0.00	1.84	0.00
isogroup1340	0	2.46	0.02	2.04	0.00
isogroup20500	0	2.45	0.00	2.01	0.00
isogroup256	0	2.45	0.00	0.26	0.69
isogroup12391	0	2.43	0.00	2.25	0.00
isogroup17299	0	2.42	0.00	1.82	0.00
isogroup19693	0	2.41	0.00	1.49	0.00
isogroup5812	0	2.41	0.00	2.46	0.00
isogroup28069	0	2.40	0.01	2.74	0.00
isogroup10993	0	2.40	0.00	2.27	0.00
isogroup16230	0	2.40	0.00	2.17	0.00
isogroup7926	0	2.39	0.00	2.15	0.00
isogroup4226	0	2.39	0.00	1.74	0.00
isogroup6189	0	2.38	0.00	2.44	0.00
isogroup6087	0	2.38	0.00	0.27	0.35
isogroup17715	0	2.38	0.00	3.10	0.00
isogroup20707	0	2.38	0.00	2.08	0.00
isogroup22133	0	2.38	0.00	2.83	0.00
isogroup5945	0	2.37	0.00	1.07	0.00
isogroup14817	0	2.36	0.00	2.44	0.00
isogroup12097	0	2.36	0.00	2.27	0.00
isogroup12999	0	2.36	0.00	1.70	0.00
isogroup14015	2	2.35	0.00	1.84	0.00
isogroup8468	0	2.34	0.00	3.32	0.00
isogroup27076	0	2.33	0.00	2.54	0.00
isogroup18295	0	2.32	0.00	0.10	0.84
isogroup13290	0	2.29	0.00	1.55	0.00
isogroup19830	0	2.28	0.00	0.83	0.05
isogroup10800	0	2.27	0.02	1.30	0.01
isogroup9551	0	2.27	0.00	0.83	0.01
isogroup14731	0	2.26	0.00	0.36	0.05
isogroup7788	0	2.26	0.00	1.46	0.00
isogroup10610	0	2.25	0.02	2.39	0.00
isogroup3118	0	2.24	0.00	1.94	0.00
isogroup12152	0	2.23	0.00	2.90	0.00
isogroup3538	0	2.21	0.00	2.11	0.00
isogroup22593	0	2.21	0.00	2.16	0.00
isogroup11175	0	2.21	0.00	-0.09	0.65
isogroup10164	0	2.19	0.00	2.46	0.00
isogroup12140	0	2.18	0.00	2.67	0.00
isogroup6972	0	2.18	0.00	2.72	0.00
isogroup5858	0	2.17	0.00	1.79	0.00
isogroup20739	0	2.16	0.00	1.96	0.00
isogroup26450	0	2.15	0.00	2.46	0.00
isogroup4900	0	2.15	0.00	2.56	0.00
isogroup16820	0	2.14	0.00	1.58	0.00
isogroup13398	0	2.14	0.00	1.20	0.00
isogroup4759	0	2.14	0.00	1.63	0.00
isogroup6222	0	2.14	0.00	1.26	0.01
isogroup18202	0	2.13	0.00	1.90	0.00
isogroup7	1	2.13	0.00	1.98	0.00
isogroup2151	0	2.12	0.00	1.72	0.00
isogroup5449	0	2.12	0.00	2.35	0.00
isogroup24414	0	2.11	0.02	3.33	0.00
isogroup4800	0	2.10	0.00	1.02	0.00
isogroup12493	0	2.09	0.00	2.55	0.00
isogroup14811	0	2.09	0.00	2.49	0.00
isogroup14252	0	2.08	0.00	1.93	0.00
isogroup14011	0	2.08	0.00	1.71	0.00
isogroup29176	0	2.08	0.04	1.04	0.48
isogroup12019	0	2.08	0.00	1.63	0.00
isogroup3036	0	2.07	0.00	1.78	0.00
isogroup16480	2	2.07	0.00	0.94	0.00
isogroup28502	0	2.06	0.00	1.73	0.00
isogroup3144	0	2.05	0.00	1.66	0.00
isogroup21949	0	2.05	0.01	1.87	0.00
isogroup11066	0	2.04	0.00	1.30	0.00
isogroup12312	0	2.04	0.00	1.56	0.00
isogroup22318	0	2.04	0.00	1.46	0.00
isogroup3723	1	2.03	0.00	1.40	0.00
isogroup16589	0	2.03	0.00	1.01	0.00
isogroup16404	0	2.02	0.00	1.64	0.00
isogroup1916	1	2.01	0.00	1.54	0.00
isogroup27558	0	2.01	0.00	1.30	0.00
