,delta.rank,pval,level,nseqs,term,name,p.adj
358,-856,0.0108826580687068,3,104,GO:0006164;GO:0072522;GO:0009152;GO:0009260;GO:0046390,purine-containing compound biosynthetic process,0.0573074342467204
362,3139,2.56600276415575e-05,4,21,GO:0006182;GO:0046068,cGMP metabolic process,0.000436607304494039
366,-737,5.58937570934731e-05,3,359,GO:0006200;GO:0009169;GO:0046034;GO:0009128;GO:0009158;GO:0009167;GO:0009125;GO:0009126;GO:0009123;GO:0009161,nucleoside monophosphate metabolic process,0.000852505682515765
371,418,0.00260900779928064,3,639,GO:0006260,DNA replication,0.0197189741258131
374,-3301,0.00626314206272207,2,8,GO:0006265,DNA topological change,0.039055246822057
376,-3236,0.00448148427527885,2,9,GO:0006268,DNA unwinding involved in DNA replication,0.0300481302100875
377,-3894,1.99993369363457e-05,2,14,GO:0006270,DNA replication initiation,0.000349060592095188
378,-5101,2.33141700605461e-06,2,10,GO:0006271,DNA strand elongation involved in DNA replication,5.67926473561216e-05
379,-1199,0.0100464621003435,3,54,GO:0006275,regulation of DNA replication,0.0540815908931051
380,1223,2.00162611198288e-14,2,475,GO:0006278,RNA-dependent DNA replication,2.60673308275924e-12
381,-610,0.000124683269602102,5,481,GO:0006281;GO:0006974,cellular response to DNA damage stimulus,0.00173023586423245
388,-3500,0.0219158219877445,3,5,GO:0006297,nucleotide-excision repair, DNA gap filling,0.0956191262841805
393,-1136,0.00796964345191837,4,64,GO:0006308,DNA catabolic process,0.0461998610143921
396,1153,0.00191469562820296,2,85,GO:0006313;GO:0032196,transposition,0.0154004294854013
397,-1698,0.0065064988910264,2,30,GO:0006323;GO:0030261,DNA packaging,0.0402760607769934
399,-2202,0.00200332626063495,5,23,GO:0006333,chromatin assembly or disassembly,0.0158858611674706
400,-2009,1.11656158741634e-05,4,56,GO:0006334;GO:0065004,protein-DNA complex assembly,0.000212397614325378
401,-2749,0.0228128919755537,2,8,GO:0006336;GO:0034724,DNA replication-independent nucleosome assembly,0.0981505110917723
409,-1575,0.0103290567731149,4,31,GO:0006354,DNA-templated transcription, elongation,0.0551643315990017
411,866,3.72193578730766e-09,5,568,GO:0006357,regulation of transcription from RNA polymerase II promoter,1.88096635460056e-07
413,-2414,0.00621792180061339,3,15,GO:0006360,transcription from RNA polymerase I promoter,0.0389166048371108
415,-928,0.00534348476419211,2,106,GO:0006364;GO:0016072,rRNA metabolic process,0.0343974133299515
420,2619,0.00790815340433501,2,12,GO:0006376,mRNA splice site selection,0.0461998610143921
426,-818,2.25126606497469e-07,2,487,GO:0006396,RNA processing,7.12409990280776e-06
427,-702,0.000139815572243653,3,354,GO:0006397;GO:0016071,mRNA metabolic process,0.00187120761903956
428,-1625,4.83429021970901e-06,3,93,GO:0006399,tRNA metabolic process,0.000108403355522746
435,-1970,1.39281749394232e-05,2,57,GO:0006413,translational initiation,0.000257864223658977
436,2506,0.00032788571809819,2,24,GO:0006414,translational elongation,0.00367622861417375
438,-610,0.0164356041238178,3,183,GO:0006417,regulation of translation,0.0767352311978883
439,-3045,3.68032056408556e-06,6,27,GO:0006418;GO:0043039;GO:0043038,amino acid activation,8.47725539455354e-05
441,-1723,0.00143963956407123,2,40,GO:0006446,regulation of translational initiation,0.0123721308729573
443,-4282,0.00504820205706996,2,5,GO:0006450,regulation of translational fidelity,0.0328715618562286
444,-2953,4.22564450677287e-21,2,120,GO:0006457,protein folding,2.04400461427613e-18
445,-4850,0.000171654514795205,4,7,GO:0006458;GO:0051084,'de novo' posttranslational protein folding,0.00220159919354759
446,-470,0.00073217612765327,3,637,GO:0006461;GO:0065003,macromolecular complex assembly,0.00712398956389072
449,1017,0.00162728088987439,6,113,GO:0006470,protein dephosphorylation,0.0136385472601849
454,-637,0.007785962872433,5,207,GO:0006486;GO:0043413;GO:0070085,glycosylation,0.0456902431300834
455,-1879,3.989259388747e-05,2,56,GO:0006487,protein N-linked glycosylation,0.000643220585252254
456,-2883,0.00234777780911834,4,13,GO:0006488,dolichol-linked oligosaccharide biosynthetic process,0.0181083728056371
462,-513,6.93493163645679e-06,2,975,GO:0006508,proteolysis,0.000145413680875021
464,-1276,2.46677272301885e-08,2,227,GO:0006511;GO:0019941;GO:0043632;GO:0051603,proteolysis involved in cellular protein catabolic process,9.94344338112122e-07
468,-2048,5.61706415735758e-07,2,70,GO:0006518,peptide metabolic process,1.6118117997299e-05
469,-1484,5.76634362555133e-15,5,332,GO:0006520,cellular amino acid metabolic process,7.80993580644672e-13
470,-3499,0.00119954774016348,3,10,GO:0006521,regulation of cellular amino acid metabolic process,0.0106886017057725
476,-1662,0.0101101296660715,2,28,GO:0006541,glutamine metabolic process,0.0542518209973346
483,-3767,0.0136505898623074,5,5,GO:0006556,S-adenosylmethionine biosynthetic process,0.0675744112189662
487,-5080,0.000268639876522048,6,6,GO:0006564,L-serine biosynthetic process,0.00314077244164898
490,-3256,0.00700527293388174,2,8,GO:0006573,valine metabolic process,0.0424326550163212
492,-1536,2.48145292661427e-07,2,133,GO:0006575,cellular modified amino acid metabolic process,7.7084400087302e-06
503,-3029,0.0189737928711873,2,7,GO:0006600,creatine metabolic process,0.0864673790872681
514,-3336,0.00119792691544164,3,11,GO:0006626;GO:0072655,establishment of protein localization to mitochondrion,0.0106886017057725
515,-821,2.0045167454401e-09,2,658,GO:0006629,lipid metabolic process,1.0605146406344e-07
516,-1275,3.51790073911172e-07,3,189,GO:0006631,fatty acid metabolic process,1.06353677702074e-05
517,-1226,0.00194020551192437,4,75,GO:0006633,fatty acid biosynthetic process,0.0155308176439147
518,-2395,0.00016098042193059,3,29,GO:0006635,fatty acid beta-oxidation,0.00211271204905805
519,-1717,0.0138571210684642,2,24,GO:0006636;GO:0046456;GO:1901570,unsaturated fatty acid biosynthetic process,0.0683934155199074
520,-2641,4.88141892601761e-06,2,35,GO:0006637;GO:0035383,acyl-CoA metabolic process,0.000108740029496682
522,-1225,0.000699258551284251,2,90,GO:0006643,membrane lipid metabolic process,0.00686438205579871
529,-3099,0.0163566681835329,4,7,GO:0006662;GO:0018904,glycerol ether metabolic process,0.0767352311978883
530,-1199,0.0100082452234243,4,54,GO:0006664,glycolipid metabolic process,0.0539616533861699
531,-1355,0.00167930869572258,3,63,GO:0006665,sphingolipid metabolic process,0.0139628080959763
538,-1225,0.0140920132538697,2,47,GO:0006690;GO:1901568;GO:0033559,unsaturated fatty acid metabolic process,0.0691529809820331
547,-1284,0.00931267708923095,4,48,GO:0006720;GO:0006721,isoprenoid metabolic process,0.0517778729460361
548,-3485,0.0225126796069465,3,5,GO:0006729;GO:0046146,tetrahydrobiopterin biosynthetic process,0.0972295065677562
550,-1797,5.52134909834088e-12,3,174,GO:0006732;GO:0051186,cofactor metabolic process,4.79366360179031e-10
551,-2215,9.02849048691861e-06,2,47,GO:0006733;GO:0072524;GO:0046496;GO:0019362,oxidoreduction coenzyme metabolic process,0.000178774671278985
552,-2993,0.000134671770215964,2,19,GO:0006739,NADP metabolic process,0.00183341723417578
554,-2013,0.000717116689944314,3,33,GO:0006749,glutathione metabolic process,0.00701779512182499
555,-2443,0.00422929114157748,5,16,GO:0006750;GO:0019184,nonribosomal peptide biosynthetic process,0.0286981559226079
557,-533,4.88020414707255e-05,4,720,GO:0006753;GO:0055086;GO:0009117;GO:0042278;GO:0009116;GO:1901657;GO:0072521;GO:0006163;GO:0009150;GO:0046128;GO:0009119;GO:0009259;GO:0019693,nucleobase-containing small molecule metabolic process,0.000756050534304091
558,-4122,2.97811036435091e-06,3,15,GO:0006754,ATP biosynthetic process,7.00269562061957e-05
564,-1637,0.0112618272529384,3,28,GO:0006778;GO:0006779;GO:0033014,porphyrin-containing compound metabolic process,0.0586654570437683
566,-2688,0.000312795994248432,2,21,GO:0006783;GO:0042168,heme metabolic process,0.00356608497146529
567,-1678,3.77243662055935e-11,2,184,GO:0006790,sulfur compound metabolic process,2.63763525050894e-09
569,-1559,0.0069804391953165,3,35,GO:0006805,xenobiotic metabolic process,0.0423580055830496
571,596,4.01182599542498e-08,2,1090,GO:0006811;GO:0055085,transmembrane transport,1.57430026137705e-06
572,952,2.59992546548431e-11,2,602,GO:0006812,cation transport,1.9562994724733e-09
573,2174,1.76496832191489e-12,2,124,GO:0006813;GO:0071804;GO:0071805,potassium ion transport,1.66005076055662e-10
575,-2571,1.06530072713374e-09,2,66,GO:0006818;GO:1902600;GO:0015992,hydrogen transport,6.11374281707601e-08
576,561,0.0105172164883029,2,248,GO:0006820,anion transport,0.0559047017729884
577,1708,0.000414529906742287,2,50,GO:0006821;GO:1902476,chloride transport,0.00449905671196543
578,-4080,0.000728006737781824,4,8,GO:0006825,copper ion transport,0.00710383519921976
583,-2114,4.14032250619555e-05,2,44,GO:0006839,mitochondrial transport,0.000664413839145883
590,1050,0.000122375756265684,3,158,GO:0006873;GO:0055082;GO:0006875;GO:0030003,cellular chemical homeostasis,0.00170520292475558
591,1554,7.8459863471791e-07,2,119,GO:0006874;GO:0055074;GO:0072503;GO:0072507,divalent inorganic cation homeostasis,2.14246046544745e-05
597,-767,0.000110173940693866,2,304,GO:0006886,intracellular protein transport,0.00157404625818325
598,765,0.00796215557356724,3,142,GO:0006887,exocytosis,0.0461998610143921
600,-2986,0.00245971197504598,2,12,GO:0006890,retrograde vesicle-mediated transport, Golgi to ER,0.0187954024918635
601,-2455,0.00405477592647161,2,16,GO:0006891,intra-Golgi vesicle-mediated transport,0.0279054294451888
606,740,0.0099677595032721,5,143,GO:0006898,receptor-mediated endocytosis,0.0538290808262828
612,-1601,0.00307706073291335,6,40,GO:0006907;GO:0044351,macropinocytosis,0.0224545854345789
621,777,4.05049328542487e-08,2,613,GO:0006928,cellular component movement,1.57430026137705e-06
624,2061,5.74248144936404e-07,2,69,GO:0006937;GO:0090257,regulation of muscle system process,1.62033684896222e-05
626,2880,2.73324339695332e-06,2,31,GO:0006940,regulation of smooth muscle contraction,6.56366109367655e-05
628,1988,0.00926189321747393,3,20,GO:0006942;GO:0055117,regulation of striated muscle contraction,0.0517441686287288
629,674,0.000103638071781496,3,400,GO:0006952,defense response,0.00151257978901787
631,820,4.88999016575889e-05,2,293,GO:0006955;GO:0045087,immune response,0.000756050534304091
639,-1997,0.0131525351494424,8,18,GO:0006977;GO:0072431;GO:1902400;GO:1902402;GO:0072422;GO:1902403;GO:0072401;GO:0072413;GO:0072395,signal transduction involved in mitotic DNA damage checkpoint,0.0658794142248698
644,-1627,0.010384587360945,3,29,GO:0006997,nucleus organization,0.0553735634711177
645,-1837,0.00993163555753246,4,23,GO:0006998,nuclear envelope organization,0.0538056287964879
646,-3221,0.00467176482461781,2,9,GO:0006999,nuclear pore organization,0.0309561559611662
651,1322,0.008071092711801,4,47,GO:0007009,plasma membrane organization,0.0464537809858484
652,610,0.000744215435584014,2,368,GO:0007010,cytoskeleton organization,0.00722038242088101
656,661,0.00792295436353338,3,191,GO:0007018,microtubule-based movement,0.0461998610143921
667,-669,2.95165110144778e-06,3,599,GO:0007049,cell cycle,6.9890144262253e-05
671,-2666,5.56989961942667e-09,3,56,GO:0007059,chromosome segregation,2.58351782347653e-07
674,-1910,0.0177363095105524,4,18,GO:0007076,mitotic chromosome condensation,0.0822447628510043
676,-3327,0.00995562500754203,4,7,GO:0007080;GO:0051310,metaphase plate congression,0.0538290808262828
681,-1873,4.07351224995241e-06,2,71,GO:0007126,meiotic nuclear division,9.25698824049588e-05
687,1343,1.48372053231515e-13,2,364,GO:0007154,cell communication,1.67462590747303e-11
688,666,6.03746753199823e-07,2,695,GO:0007155;GO:0022610,biological adhesion,1.67564467732344e-05
689,1673,1.54136096766309e-06,2,97,GO:0007156;GO:0098609,cell-cell adhesion,4.04577382674979e-05
695,1283,0.000284877029886214,3,94,GO:0007163,establishment or maintenance of cell polarity,0.00329887829504032
696,1437,1.55105389605207e-46,4,1302,GO:0007166,cell surface receptor signaling pathway,5.25186849203231e-43
697,880,2.00896123461068e-06,2,350,GO:0007167;GO:0007169,enzyme linked receptor protein signaling pathway,5.0387724002902e-05
698,3419,0.00808070791514019,3,7,GO:0007168,receptor guanylyl cyclase signaling pathway,0.0464537809858484
699,3567,0.0105109946871679,2,6,GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,0.0559047017729884
704,2065,1.10388234955789e-43,2,551,GO:0007186,G-protein coupled receptor signaling pathway,1.86887281780151e-40
705,1913,5.64562655469293e-06,3,66,GO:0007187;GO:0007188,G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,0.000124130464377859
706,2448,0.000341589902734829,2,25,GO:0007189,adenylate cyclase-activating G-protein coupled receptor signaling pathway,0.00381723897907634
707,3097,0.00168363565202078,3,12,GO:0007190,activation of adenylate cyclase activity,0.0139628080959763
708,1880,0.00219628584205096,3,31,GO:0007193,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,0.0172144070860753
709,3558,0.00017344479203431,6,13,GO:0007194;GO:0031280;GO:0051350,negative regulation of adenylate cyclase activity,0.00221616628614405
711,2886,2.42665370170302e-05,2,25,GO:0007200,phospholipase C-activating G-protein coupled receptor signaling pathway,0.000414982294644769
713,1882,0.0231280936333751,2,17,GO:0007205,protein kinase C-activating G-protein coupled receptor signaling pathway,0.0990034450601872
714,3550,0.00182309585312377,2,9,GO:0007210,serotonin receptor signaling pathway,0.0148389484583584
717,3368,0.00013482601633484,3,15,GO:0007214,gamma-aminobutyric acid signaling pathway,0.00183341723417578
718,1551,0.00818140388964852,2,34,GO:0007215,glutamate receptor signaling pathway,0.0468734916587985
719,2730,0.00197034760666338,2,15,GO:0007217,tachykinin receptor signaling pathway,0.0157348985758543
720,2361,2.54910557311637e-21,2,191,GO:0007218,neuropeptide signaling pathway,1.43854524509534e-18
725,2291,0.00731094553441991,4,16,GO:0007249,I-kappaB kinase/NF-kappaB signaling,0.0436310464535317
726,2224,0.000365469059238395,2,30,GO:0007250;GO:1901222,regulation of NIK/NF-kappaB signaling,0.00401929010009037
735,1785,5.79344233939859e-17,3,262,GO:0007267;GO:0044700;GO:0023052,single organism signaling,1.40118541151454e-14
736,1948,1.79181189350617e-13,4,169,GO:0007268,synaptic transmission,1.95712099077803e-11
738,1565,0.0153870998599298,2,28,GO:0007270;GO:0035249,neuron-neuron synaptic transmission,0.0732780873779498
739,2419,0.0106819612921059,2,13,GO:0007271,synaptic transmission, cholinergic,0.0565142514610478
742,974,2.31822535535924e-15,2,830,GO:0007275,multicellular organismal development,3.41283089271582e-13
752,-2295,0.011945630282817,4,14,GO:0007339;GO:0035036;GO:0009988,cell-cell recognition,0.061371345846811
754,604,0.00390083679826847,5,272,GO:0007346,regulation of mitotic cell cycle,0.0271216291559282
757,1628,0.000112498027988922,5,66,GO:0007368;GO:0009855;GO:0009799,specification of symmetry,0.00159952430478924
758,1785,0.0142696157651707,3,22,GO:0007369,gastrulation,0.0697665244752965
759,1347,3.70606051604391e-10,2,258,GO:0007389,pattern specification process,2.20152998374117e-08
763,794,0.00025941856233721,2,252,GO:0007399,nervous system development,0.00304996962525623
765,1116,0.0102365286966695,3,62,GO:0007409,axonogenesis,0.0548431743147515
766,1294,7.49539124178954e-07,2,173,GO:0007411;GO:0097485,neuron projection guidance,2.06336542639832e-05
768,2184,0.00139954393671578,2,25,GO:0007413,axonal fasciculation,0.0121441441120004
772,932,0.00605361979495522,2,102,GO:0007420,brain development,0.0380995476314468
782,3007,0.00537173425330487,2,10,GO:0007492,endoderm development,0.0345136474035869
784,1335,1.37957519301845e-05,2,125,GO:0007507,heart development,0.000257864223658977
785,2445,0.00985449762089698,4,13,GO:0007512,adult heart development,0.0536452233832109
786,1463,0.00137947189256792,2,56,GO:0007517;GO:0061061,muscle structure development,0.0120383810006056
787,1589,0.00329358894662091,6,40,GO:0007519,skeletal muscle tissue development,0.0237278556877838
789,1259,0.0158200502820598,2,43,GO:0007528,neuromuscular junction development,0.0750233757073592
807,1340,1.47999698222994e-10,2,273,GO:0007600,sensory perception,9.45522600345392e-09
808,1208,4.6675530591299e-05,2,134,GO:0007601;GO:0050953,sensory perception of light stimulus,0.000731682160102493
809,1036,0.0211283586004143,4,58,GO:0007602;GO:0009583,detection of light stimulus,0.0937622833827036
811,2059,9.93865838490471e-09,2,91,GO:0007605;GO:0050954,sensory perception of mechanical stimulus,4.37042821964771e-07
814,1197,5.27807004513657e-09,2,284,GO:0007610,behavior,2.48215905178228e-07
815,1000,0.000856754434699272,2,131,GO:0007611;GO:0050890,cognition,0.008084304578013
816,1169,0.00275511511385145,6,77,GO:0007612,learning,0.0206389818042058
823,1298,0.000517088493636068,3,84,GO:0007626,locomotory behavior,0.00532176790106908
825,1470,0.0135126152329585,3,33,GO:0007631,feeding behavior,0.0671860722155617
828,2797,0.00960755868943841,3,10,GO:0007638,mechanosensory behavior,0.0527977062245191
